msa_x,municipality,msa_y
"California-Lexington Park, MD","[""St. Mary's County, MD""]","California-Lexington Park, MD"
"Lafayette, LA","['Acadia County, LA', 'Iberia County, LA', 'Lafayette County, LA', 'St. Martin County, LA', 'Vermilion County, LA']","Lafayette, LA"
"Boise City, ID","['Ada County, ID', 'Boise County, ID', 'Canyon County, ID', 'Gem County, ID', 'Owyhee County, ID']","Boise City, ID"
"Denver-Aurora-Lakewood, CO","['Adams County, CO', 'Arapahoe County, CO', 'Broomfield County, CO', 'Clear Creek County, CO', 'Denver County, CO', 'Douglas County, CO', 'Elbert County, CO', 'Gilpin County, CO', 'Jefferson County, CO', 'Park County, CO']","Denver-Aurora-Lakewood, CO"
"Gettysburg, PA","['Adams County, PA']","Gettysburg, PA"
"Gainesville, FL","['Alachua County, FL', 'Gilchrist County, FL', 'Levy County, FL']","Gainesville, FL"
"Burlington, NC","['Alamance County, NC']","Burlington, NC"
"San Francisco-Oakland-Berkeley, CA","['Alameda County, CA', 'Contra Costa County, CA', 'Marin County, CA', 'San Francisco County, CA', 'San Mateo County, CA']","San Francisco-Oakland-Berkeley, CA"
"Albany-Schenectady-Troy, NY","['Albany County, NY', 'Rensselaer County, NY', 'Saratoga County, NY', 'Schenectady County, NY', 'Schoharie County, NY']","Albany-Schenectady-Troy, NY"
"Cape Girardeau, MO-IL","['Alexander County, IL', 'Bollinger County, MO', 'Cape Girardeau County, MO']","Cape Girardeau, MO-IL"
"Hickory-Lenoir-Morganton, NC","['Alexander County, NC', 'Burke County, NC', 'Caldwell County, NC', 'Catawba County, NC']","Hickory-Lenoir-Morganton, NC"
"Cumberland, MD-WV","['Allegany County, MD', 'Mineral County, WV']","Cumberland, MD-WV"
"Pittsburgh, PA","['Allegheny County, PA', 'Armstrong County, PA', 'Beaver County, PA', 'Butler County, PA', 'Fayette County, PA', 'Washington County, PA', 'Westmoreland County, PA']","Pittsburgh, PA"
"Fort Wayne, IN","['Allen County, IN', 'Whitley County, IN']","Fort Wayne, IN"
"Bowling Green, KY","['Allen County, KY', 'Butler County, KY', 'Edmonson County, KY', 'Warren County, KY']","Bowling Green, KY"
"Lima, OH","['Allen County, OH']","Lima, OH"
"Richmond, VA","['Amelia County, VA', 'Charles City County, VA', 'Chesterfield County, VA', 'Goochland County, VA', 'Hanover County, VA', 'Henrico County, VA', 'King and Queen County, VA', 'King William County, VA', 'New Kent County, VA', 'Powhatan County, VA', 'Sussex County, VA', 'Richmond, VA', 'Dinwiddie County, VA', 'Colonial Heights, VA', 'Petersburg, VA', 'Prince George County, VA', 'Hopewell, VA']","Richmond, VA"
"Lynchburg, VA","['Amherst County, VA', 'Appomattox County, VA', 'Bedford County, VA', 'Campbell County, VA', 'Lynchburg, VA']","Lynchburg, VA"
"Anchorage, AK","['Anchorage Municipality County, AK', 'Matanuska-Susitna Borough County, AK']","Anchorage, AK"
"Greenville-Anderson, SC","['Anderson County, SC', 'Greenville County, SC', 'Laurens County, SC', 'Pickens County, SC']","Greenville-Anderson, SC"
"Knoxville, TN","['Anderson County, TN', 'Blount County, TN', 'Campbell County, TN', 'Knox County, TN', 'Loudon County, TN', 'Morgan County, TN', 'Roane County, TN', 'Union County, TN']","Knoxville, TN"
"Lewiston-Auburn, ME","['Androscoggin County, ME']","Lewiston-Auburn, ME"
"Baltimore-Columbia-Towson, MD","['Anne Arundel County, MD', 'Baltimore County, MD', 'Carroll County, MD', 'Harford County, MD', 'Howard County, MD', ""Queen Anne's County, MD"", 'Baltimore, MD']","Baltimore-Columbia-Towson, MD"
"Minneapolis-St. Paul-Bloomington, MN-WI","['Anoka County, MN', 'Carver County, MN', 'Chisago County, MN', 'Dakota County, MN', 'Hennepin County, MN', 'Isanti County, MN', 'Le Sueur County, MN', 'Mille Lacs County, MN', 'Ramsey County, MN', 'Scott County, MN', 'Sherburne County, MN', 'Washington County, MN', 'Wright County, MN', 'Pierce County, WI', 'St. Croix County, WI']","Minneapolis-St. Paul-Bloomington, MN-WI"
"Charlotte-Concord-Gastonia, NC-SC","['Anson County, NC', 'Cabarrus County, NC', 'Gaston County, NC', 'Iredell County, NC', 'Lincoln County, NC', 'Mecklenburg County, NC', 'Rowan County, NC', 'Union County, NC', 'Chester County, SC', 'Lancaster County, SC', 'York County, SC']","Charlotte-Concord-Gastonia, NC-SC"
"Wichita Falls, TX","['Archer County, TX', 'Clay County, TX', 'Wichita County, TX']","Wichita Falls, TX"
"Amarillo, TX","['Armstrong County, TX', 'Carson County, TX', 'Oldham County, TX', 'Potter County, TX', 'Randall County, TX']","Amarillo, TX"
"Baton Rouge, LA","['Ascension County, LA', 'Assumption County, LA', 'East Baton Rouge County, LA', 'East Feliciana County, LA', 'Iberville County, LA', 'Livingston County, LA', 'Pointe Coupee County, LA', 'St. Helena County, LA', 'West Baton Rouge County, LA', 'West Feliciana County, LA']","Baton Rouge, LA"
"San Antonio-New Braunfels, TX","['Atascosa County, TX', 'Bandera County, TX', 'Bexar County, TX', 'Comal County, TX', 'Guadalupe County, TX', 'Kendall County, TX', 'Medina County, TX', 'Wilson County, TX']","San Antonio-New Braunfels, TX"
"Atlantic City-Hammonton, NJ","['Atlantic County, NJ']","Atlantic City-Hammonton, NJ"
"Staunton, VA","['Augusta County, VA', 'Staunton, VA', 'Waynesboro, VA']","Staunton, VA"
"Houston-The Woodlands-Sugar Land, TX","['Austin County, TX', 'Brazoria County, TX', 'Chambers County, TX', 'Fort Bend County, TX', 'Galveston County, TX', 'Harris County, TX', 'Liberty County, TX', 'Montgomery County, TX', 'Waller County, TX']","Houston-The Woodlands-Sugar Land, TX"
"Montgomery, AL","['Autauga County, AL', 'Elmore County, AL', 'Lowndes County, AL', 'Montgomery County, AL']","Montgomery, AL"
"Jacksonville, FL","['Baker County, FL', 'Clay County, FL', 'Duval County, FL', 'Nassau County, FL', 'St. Johns County, FL']","Jacksonville, FL"
"Daphne-Fairhope-Foley, AL","['Baldwin County, AL']","Daphne-Fairhope-Foley, AL"
"Pocatello, ID","['Bannock County, ID', 'Power County, ID']","Pocatello, ID"
"Barnstable Town, MA","['Barnstable County, MA']","Barnstable Town, MA"
"Atlanta-Sandy Springs-Alpharetta, GA","['Barrow County, GA', 'Bartow County, GA', 'Butts County, GA', 'Carroll County, GA', 'Cherokee County, GA', 'Clayton County, GA', 'Cobb County, GA', 'Coweta County, GA', 'Dawson County, GA', 'DeKalb County, GA', 'Douglas County, GA', 'Fayette County, GA', 'Forsyth County, GA', 'Fulton County, GA', 'Gwinnett County, GA', 'Haralson County, GA', 'Heard County, GA', 'Henry County, GA', 'Jasper County, GA', 'Lamar County, GA', 'Meriwether County, GA', 'Morgan County, GA', 'Newton County, GA', 'Paulding County, GA', 'Pickens County, GA', 'Pike County, GA', 'Rockdale County, GA', 'Spalding County, GA', 'Walton County, GA']","Atlanta-Sandy Springs-Alpharetta, GA"
"Columbus, IN","['Bartholomew County, IN']","Columbus, IN"
"Austin-Round Rock-Georgetown, TX","['Bastrop County, TX', 'Caldwell County, TX', 'Hays County, TX', 'Travis County, TX', 'Williamson County, TX']","Austin-Round Rock-Georgetown, TX"
"Panama City, FL","['Bay County, FL']","Panama City, FL"
"Bay City, MI","['Bay County, MI']","Bay City, MI"
"Hilton Head Island-Bluffton, SC","['Beaufort County, SC', 'Jasper County, SC']","Hilton Head Island-Bluffton, SC"
"Killeen-Temple, TX","['Bell County, TX', 'Coryell County, TX', 'Lampasas County, TX']","Killeen-Temple, TX"
"Wheeling, WV-OH","['Belmont County, OH', 'Marshall County, WV', 'Ohio County, WV']","Wheeling, WV-OH"
"Fayetteville-Springdale-Rogers, AR","['Benton County, AR', 'Madison County, AR', 'Washington County, AR']","Fayetteville-Springdale-Rogers, AR"
"Cedar Rapids, IA","['Benton County, IA', 'Jones County, IA', 'Linn County, IA']","Cedar Rapids, IA"
"Lafayette-West Lafayette, IN","['Benton County, IN', 'Carroll County, IN', 'Tippecanoe County, IN', 'Warren County, IN']","Lafayette-West Lafayette, IN"
"St. Cloud, MN","['Benton County, MN', 'Stearns County, MN']","St. Cloud, MN"
"Corvallis, OR","['Benton County, OR']","Corvallis, OR"
"Kennewick-Richland, WA","['Benton County, WA', 'Franklin County, WA']","Kennewick-Richland, WA"
"New York-Newark-Jersey City, NY-NJ-PA","['Bergen County, NJ', 'Essex County, NJ', 'Hudson County, NJ', 'Hunterdon County, NJ', 'Middlesex County, NJ', 'Monmouth County, NJ', 'Morris County, NJ', 'Ocean County, NJ', 'Passaic County, NJ', 'Somerset County, NJ', 'Sussex County, NJ', 'Union County, NJ', 'Bronx County, NY', 'Kings County, NY', 'Nassau County, NY', 'New York County, NY', 'Putnam County, NY', 'Queens County, NY', 'Richmond County, NY', 'Rockland County, NY', 'Suffolk County, NY', 'Westchester County, NY', 'Pike County, PA']","New York-Newark-Jersey City, NY-NJ-PA"
