msa,population
"Abilene, TX",170669
"Aguadilla-Isabela, PR",301107
"Akron, OH",703845
"Albany, GA",148436
"Albany-Lebanon, OR",125048
"Albany-Schenectady-Troy, NY",880736
"Albuquerque, NM",912108
"Alexandria, LA",153310
"Allentown-Bethlehem-Easton, PA-NJ",837610
"Altoona, PA",123157
"Amarillo, TX",263776
"Ames, IA",123311
"Anchorage, AK",398900
"Ann Arbor, MI",367000
"Anniston-Oxford, AL",114618
"Appleton, WI",235628
"Arecibo, PR",180567
"Asheville, NC",454351
"Athens-Clarke County, GA",208457
"Atlanta-Sandy Springs-Alpharetta, GA",5862424
"Atlantic City-Hammonton, NJ",266105
"Auburn-Opelika, AL",161152
"Augusta-Richmond County, GA-SC",599616
"Austin-Round Rock-Georgetown, TX",2114441
"Bakersfield, CA",887641
"Baltimore-Columbia-Towson, MD",2796733
"Bangor, ME",151774
"Barnstable Town, MA",213496
"Baton Rouge, LA",854318
"Battle Creek, MI",134212
"Bay City, MI",104104
"Beaumont-Port Arthur, TX",395174
"Beckley, WV",118828
"Bellingham, WA",220821
"Bend, OR",186251
"Billings, MT",179071
"Binghamton, NY",241874
"Birmingham-Hoover, AL",1085330
"Bismarck, ND",127503
"Blacksburg-Christiansburg, VA",166785
"Bloomington, IL",172578
"Bloomington, IN",167296
"Bloomsburg-Berwick, PA",83974
"Boise City, ID",710743
"Boston-Cambridge-Newton, MA-NH",4832346
"Boulder, CO",322510
"Bowling Green, KY",174498
"Bremerton-Silverdale-Port Orchard, WA",265882
"Bridgeport-Stamford-Norwalk, CT",943926
"Brownsville-Harlingen, TX",421666
"Brunswick, GA",117400
"Buffalo-Cheektowaga, NY",1130175
"Burlington, NC",163324
"Burlington-South Burlington, VT",218784
"California-Lexington Park, MD",112290
"Canton-Massillon, OH",399736
"Cape Coral-Fort Myers, FL",737468
"Cape Girardeau, MO-IL",96976
"Carbondale-Marion, IL",137573
"Carson City, NV",54773
"Casper, WY",80333
"Cedar Rapids, IA",270056
"Chambersburg-Waynesboro, PA",154147
"Champaign-Urbana, IL",226323
"Charleston, WV",264113
"Charleston-North Charleston, SC",774508
"Charlotte-Concord-Gastonia, NC-SC",2545560
"Charlottesville, VA",215445
"Chattanooga, TN-GA",556209
"Cheyenne, WY",98320
"Chicago-Naperville-Elgin, IL-IN-WI",9508605
"Chico, CA",225817
"Cincinnati, OH-KY-IN",2201741
"Clarksville, TN-KY",299470
"Cleveland, TN",122563
"Cleveland-Elyria, OH",2056898
"Coeur d'Alene, ID",157322
"College Station-Bryan, TX",258029
"Colorado Springs, CO",723498
"Columbia, MO",205369
"Columbia, SC",824278
"Columbus, GA-AL",319402
"Columbus, IN",82481
"Columbus, OH",2077761
"Corpus Christi, TX",428548
"Corvallis, OR",91107
"Crestview-Fort Walton Beach-Destin, FL",272056
"Cumberland, MD-WV",98612
"Dallas-Fort Worth-Arlington, TX",7320663
"Dalton, GA",143961
"Danville, IL",77563
"Daphne-Fairhope-Foley, AL",212830
"Davenport-Moline-Rock Island, IA-IL",381175
"Dayton-Kettering, OH",803543
"Decatur, AL",152271
"Decatur, IL",105528
"Deltona-Daytona Beach-Ormond Beach, FL",646288
"Denver-Aurora-Lakewood, CO",2892066
"Des Moines-West Des Moines, IA",680439
"Detroit-Warren-Dearborn, MI",4317848
"Dothan, AL",148252
"Dover, DE",176699
"Dubuque, IA",96982
"Duluth, MN-WI",289247
"Durham-Chapel Hill, NC",626695
"East Stroudsburg, PA",168032
"Eau Claire, WI",167406
"El Centro, CA",180701
"Elizabethtown-Fort Knox, KY",150913
"Elkhart-Goshen, IN",204558
"Elmira, NY",84895
"El Paso, TX",840477
"Enid, OK",61898
"Erie, PA",273835
"Eugene-Springfield, OR",373340
"Evansville, IN-KY",314960
"Fairbanks, AK",99072
"Fargo, ND-MN",240421
"Farmington, NM",126515
"Fayetteville, NC",519101
"Fayetteville-Springdale-Rogers, AR",514259
"Flagstaff, AZ",141274
"Flint, MI",407875
"Florence, SC",205502
"Florence-Muscle Shoals, AL",147327
"Fond du Lac, WI",102597
"Fort Collins, CO",344786
"Fort Smith, AR-OK",249777
"Fort Wayne, IN",406305
"Fresno, CA",984521
"Gadsden, AL",102748
"Gainesville, FL",323799
"Gainesville, GA",198667
"Gettysburg, PA",102470
"Glens Falls, NY",125892
"Goldsboro, NC",123603
"Grand Forks, ND-MN",101745
"Grand Island, NE",75480
"Grand Junction, CO",151218
"Grand Rapids-Kentwood, MI",1062392
"Grants Pass, OR",86251
"Great Falls, MT",81625
"Greeley, CO",305345
"Green Bay, WI",319401
"Greensboro-High Point, NC",762063
"Greenville, NC",178433
"Greenville-Anderson, SC",895942
"Guayama, PR",75623
"Gulfport-Biloxi, MS",412115
"Hagerstown-Martinsburg, MD-WV",283147
"Hammond, LA",132057
"Hanford-Corcoran, CA",150691
"Harrisburg-Carlisle, PA",571013
"Harrisonburg, VA",133557
"Hartford-East Hartford-Middletown, CT",1207677
"Hattiesburg, MS",168177
"Hickory-Lenoir-Morganton, NC",366678
"Hilton Head Island-Bluffton, SC",214752
"Hinesville, GA",80041
"Homosassa Springs, FL",145169
"Hot Springs, AR",98555
"Houma-Thibodaux, LA",210162
"Houston-The Woodlands-Sugar Land, TX",6884138
"Huntington-Ashland, WV-KY-OH",361832
"Huntsville, AL",457003
"Idaho Falls, ID",145507
"Indianapolis-Carmel-Anderson, IN",2029472
"Iowa City, IA",170677
"Ithaca, NY",102642
"Jackson, MI",158636
"Jackson, MS",597727
"Jackson, TN",178442
"Jacksonville, FL",1503574
"Jacksonville, NC",195069
"Janesville-Beloit, WI",162152
"Jefferson City, MO",151273
"Johnson City, TN",202049
"Johnstown, PA",133009
"Jonesboro, AR",131241
"Joplin, MO",178100
"Kahului-Wailuku-Lahaina, HI",165979
"Kalamazoo-Portage, MI",262745
"Kankakee, IL",110637
"Kansas City, MO-KS",2124518
"Kennewick-Richland, WA",289527
"Killeen-Temple, TX",444716
"Kingsport-Bristol, TN-VA",306546
"Kingston, NY",178665
"Knoxville, TN",853337
"Kokomo, IN",82331
"La Crosse-Onalaska, WI-MN",136542
"Lafayette, LA",489914
"Lafayette-West Lafayette, IN",228541
"Lake Charles, LA",208549
"Lake Havasu City-Kingman, AZ",207695
"Lakeland-Winter Haven, FL",686218
"Lancaster, PA",540999
"Lansing-East Lansing, MI",546772
"Laredo, TX",273526
"Las Cruces, NM",216069
"Las Vegas-Henderson-Paradise, NV",2182004
"Lawrence, KS",120290
"Lawton, OK",127620
"Lebanon, PA",139729
"Lewiston, ID-WA",62638
"Lewiston-Auburn, ME",107602
"Lexington-Fayette, KY",510647
"Lima, OH",103175
"Lincoln, NE",330329
"Little Rock-North Little Rock-Conway, AR",737015
"Logan, UT-ID",137629
"Longview, TX",284796
"Longview, WA",106778
"Los Angeles-Long Beach-Anaheim, CA",13249614
"Louisville/Jefferson County, KY-IN",1257088
"Lubbock, TX",316474
"Lynchburg, VA",261652
"Macon-Bibb County, GA",229504
"Madera, CA",155433
"Madison, WI",653725
"Manchester-Nashua, NH",413035
"Manhattan, KS",132928
"Mankato, MN",100749
"Mansfield, OH",121100
"Mayagüez, PR",99545
"McAllen-Edinburg-Mission, TX",855176
"Medford, OR",216574
"Memphis, TN-MS-AR",1339623
"Merced, CA",271382
"Miami-Fort Lauderdale-Pompano Beach, FL",6090660
"Michigan City-La Porte, IN",110154
"Midland, MI",83355
"Midland, TX",173816
"Milwaukee-Waukesha, WI",1575223
"Minneapolis-St. Paul-Bloomington, MN-WI",3573609
"Missoula, MT",117309
"Mobile, AL",430655
"Modesto, CA",543194
"Monroe, LA",203457
"Monroe, MI",149727
"Montgomery, AL",373544
"Morgantown, WV",139157
"Morristown, TN",140912
"Mount Vernon-Anacortes, WA",125612
"Muncie, IN",115020
"Muskegon, MI",173297
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",463987
"Napa, CA",139623
"Naples-Marco Island, FL",371453
"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903
"New Bern, NC",124786
"New Haven-Milford, CT",857513
"New Orleans-Metairie, LA",1267777
"New York-Newark-Jersey City, NY-NJ-PA",19294236
"Niles, MI",154133
"North Port-Sarasota-Bradenton, FL",803709
"Norwich-New London, CT",267390
"Ocala, FL",353526
"Ocean City, NJ",93086
"Odessa, TX",160579
"Ogden-Clearfield, UT",662875
"Oklahoma City, OK",1382841
"Olympia-Lacey-Tumwater, WA",279711
