msa,unemp
"Abilene, TX",3.4
"Aguadilla-Isabela, PR",18.4
"Akron, OH",5.4
"Albany, GA",10.6
"Albany-Lebanon, OR",6.6
"Albany-Schenectady-Troy, NY",4.6
"Albuquerque, NM",6.0
"Alexandria, LA",6.2
"Allentown-Bethlehem-Easton, PA-NJ",5.5
"Altoona, PA",4.3
"Amarillo, TX",3.4
"Ames, IA",4.1
"Anchorage, AK",6.5
"Ann Arbor, MI",4.2
"Anniston-Oxford, AL",8.1
"Appleton, WI",2.6
"Arecibo, PR",13.2
"Asheville, NC",3.3
"Athens-Clarke County, GA",5.1
"Atlanta-Sandy Springs-Alpharetta, GA",5.2
"Atlantic City-Hammonton, NJ",8.4
"Auburn-Opelika, AL",5.2
"Augusta-Richmond County, GA-SC",7.0
"Austin-Round Rock-Georgetown, TX",4.2
"Bakersfield, CA",9.8
"Baltimore-Columbia-Towson, MD",5.1
"Bangor, ME",5.0
"Barnstable Town, MA",4.1
"Baton Rouge, LA",6.1
"Battle Creek, MI",6.3
"Bay City, MI",6.4
"Beaumont-Port Arthur, TX",4.7
"Beckley, WV",7.9
"Bellingham, WA",5.7
"Bend, OR",5.4
"Billings, MT",3.3
"Binghamton, NY",6.2
"Birmingham-Hoover, AL",5.7
"Bismarck, ND",2.1
"Blacksburg-Christiansburg, VA",4.6
"Bloomington, IL",3.2
"Bloomington, IN",5.4
"Bloomsburg-Berwick, PA",4.0
"Boise City, ID",4.4
"Boston-Cambridge-Newton, MA-NH",4.5
"Boulder, CO",4.2
"Bowling Green, KY",4.9
"Bremerton-Silverdale-Port Orchard, WA",4.6
"Bridgeport-Stamford-Norwalk, CT",6.6
"Brownsville-Harlingen, TX",5.8
"Brunswick, GA",5.1
"Buffalo-Cheektowaga, NY",4.4
"Burlington, NC",5.3
"Burlington-South Burlington, VT",3.5
"California-Lexington Park, MD",3.3
"Canton-Massillon, OH",5.4
"Cape Coral-Fort Myers, FL",5.3
"Cape Girardeau, MO-IL",4.6
"Carbondale-Marion, IL",6.9
"Carson City, NV",5.1
"Casper, WY",4.3
"Cedar Rapids, IA",3.6
"Chambersburg-Waynesboro, PA",4.8
"Champaign-Urbana, IL",4.8
"Charleston, WV",6.0
"Charleston-North Charleston, SC",4.2
"Charlotte-Concord-Gastonia, NC-SC",5.2
"Charlottesville, VA",3.2
"Chattanooga, TN-GA",4.9
"Cheyenne, WY",5.1
"Chicago-Naperville-Elgin, IL-IN-WI",6.1
"Chico, CA",8.1
"Cincinnati, OH-KY-IN",4.5
