msa,med_hh_inc_dol,households
"Abilene, TX",52511,60931
"Aguadilla-Isabela, PR",16470,109248
"Akron, OH",57285,286543
"Albany, GA",44844,55714
"Albany-Lebanon, OR",55893,47762
"Albany-Schenectady-Troy, NY",71285,352713
"Albuquerque, NM",54072,351354
"Alexandria, LA",46367,55477
"Allentown-Bethlehem-Easton, PA-NJ",67652,320529
"Altoona, PA",49181,52126
"Amarillo, TX",55515,97345
"Ames, IA",58600,48765
"Anchorage, AK",83048,137784
"Ann Arbor, MI",72586,141245
"Anniston-Oxford, AL",47255,44605
"Appleton, WI",67616,93455
"Arecibo, PR",17954,65547
"Asheville, NC",52735,191756
"Athens-Clarke County, GA",47214,78662
"Atlanta-Sandy Springs-Alpharetta, GA",68316,2104360
"Atlantic City-Hammonton, NJ",62110,99850
"Auburn-Opelika, AL",51463,60237
"Augusta-Richmond County, GA-SC",53269,215210
"Austin-Round Rock-Georgetown, TX",76844,764989
"Bakersfield, CA",53350,270282
"Baltimore-Columbia-Towson, MD",81598,1049909
"Bangor, ME",50808,62156
"Barnstable Town, MA",74336,94323
"Baton Rouge, LA",58912,308531
"Battle Creek, MI",48607,53991
"Bay City, MI",48819,44339
"Beaumont-Port Arthur, TX",54016,145308
"Beckley, WV",42817,48644
"Bellingham, WA",62984,86523
"Bend, OR",67043,74397
"Billings, MT",61278,74670
"Binghamton, NY",54295,98579
"Birmingham-Hoover, AL",57447,417562
"Bismarck, ND",71398,53810
"Blacksburg-Christiansburg, VA",55065,62701
"Bloomington, IL",67675,65845
"Bloomington, IN",49798,64400
"Bloomsburg-Berwick, PA",51745,33776
"Boise City, ID",60568,260369
"Boston-Cambridge-Newton, MA-NH",90333,1831217
"Boulder, CO",83019,127415
"Bowling Green, KY",49700,65672
"Bremerton-Silverdale-Port Orchard, WA",75411,103913
"Bridgeport-Stamford-Norwalk, CT",95645,340189
"Brownsville-Harlingen, TX",38758,124605
"Brunswick, GA",50671,46984
"Buffalo-Cheektowaga, NY",57621,478104
"Burlington, NC",49688,64439
"Burlington-South Burlington, VT",71413,87679
"California-Lexington Park, MD",89845,40552
"Canton-Massillon, OH",53978,164758
"Cape Coral-Fort Myers, FL",57832,275965
"Cape Girardeau, MO-IL",51429,36341
"Carbondale-Marion, IL",45052,55215
"Carson City, NV",55718,22755
"Casper, WY",62772,32799
"Cedar Rapids, IA",64687,109313
"Chambersburg-Waynesboro, PA",63379,60438
"Champaign-Urbana, IL",53641,89061
"Charleston, WV",45225,110818
"Charleston-North Charleston, SC",63649,291427
"Charlotte-Concord-Gastonia, NC-SC",63217,952806
"Charlottesville, VA",72697,84003
"Chattanooga, TN-GA",53126,219166
"Cheyenne, WY",66910,39683
"Chicago-Naperville-Elgin, IL-IN-WI",71770,3514621
"Chico, CA",52537,85320
"Cincinnati, OH-KY-IN",63987,861242
"Clarksville, TN-KY",53027,109408
"Cleveland, TN",49921,47575
"Cleveland-Elyria, OH",56008,861912
"Coeur d'Alene, ID",57242,62304
"College Station-Bryan, TX",50240,92666
"Colorado Springs, CO",68687,267755
"Columbia, MO",54808,80487
"Columbia, SC",55971,312401
"Columbus, GA-AL",47571,118780
"Columbus, IN",63431,31452
"Columbus, OH",65150,794449
"Corpus Christi, TX",56013,152349
"Corvallis, OR",62077,35718
"Crestview-Fort Walton Beach-Destin, FL",62161,105382
"Cumberland, MD-WV",47330,38315
"Dallas-Fort Worth-Arlington, TX",70281,2553470
"Dalton, GA",48481,50014
"Danville, IL",46515,31151
"Daphne-Fairhope-Foley, AL",58320,80930
"Davenport-Moline-Rock Island, IA-IL",58531,153939
"Dayton-Kettering, OH",55634,330975
"Decatur, AL",50422,58595
"Decatur, IL",50480,43912
"Deltona-Daytona Beach-Ormond Beach, FL",50360,258616
"Denver-Aurora-Lakewood, CO",79664,1112126
"Des Moines-West Des Moines, IA",70126,266943
"Detroit-Warren-Dearborn, MI",60984,1703819
"Dothan, AL",46351,56324
"Dover, DE",60910,65796
"Dubuque, IA",63031,38210
"Duluth, MN-WI",56573,123623
"Durham-Chapel Hill, NC",62289,245658
"East Stroudsburg, PA",63934,57098
"Eau Claire, WI",59584,66582
"El Centro, CA",47622,44829
"Elizabethtown-Fort Knox, KY",54132,58072
"Elkhart-Goshen, IN",57021,71718
"Elmira, NY",54940,33989
"El Paso, TX",46795,269288
"Enid, OK",54006,23541
"Erie, PA",51529,110318
"Eugene-Springfield, OR",52426,152312
"Evansville, IN-KY",54063,128919
"Fairbanks, AK",76992,36188
"Fargo, ND-MN",64666,100207
"Farmington, NM",50518,43387
"Fayetteville, NC",48459,188642
"Fayetteville-Springdale-Rogers, AR",57603,190853
"Flagstaff, AZ",59460,47447
"Flint, MI",48588,167902
"Florence, SC",44114,78672
"Florence-Muscle Shoals, AL",48084,60351
"Fond du Lac, WI",62391,41542
"Fort Collins, CO",71881,137021
"Fort Smith, AR-OK",44750,97383
"Fort Wayne, IN",55341,158807
"Fresno, CA",53969,307906
"Gadsden, AL",44637,38942
"Gainesville, FL",46843,120833
"Gainesville, GA",62984,64352
"Gettysburg, PA",67253,39345
"Glens Falls, NY",59395,52029
"Goldsboro, NC",44416,48343
"Grand Forks, ND-MN",55609,43086
"Grand Island, NE",57086,29189
"Grand Junction, CO",55379,61742
"Grand Rapids-Kentwood, MI",63302,391233
"Grants Pass, OR",45616,36367
"Great Falls, MT",49913,34329
"Greeley, CO",74150,104671
"Green Bay, WI",62405,129648
"Greensboro-High Point, NC",50891,297916
"Greenville, NC",47437,69799
"Greenville-Anderson, SC",54886,343270
"Guayama, PR",16980,26074
"Gulfport-Biloxi, MS",49068,156897
"Hagerstown-Martinsburg, MD-WV",61138,107441
"Hammond, LA",47832,47597
"Hanford-Corcoran, CA",57848,43452
