msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,ahd_truck,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh,unemp,med_hh_inc_dol,households
"Abilene, TX",64,1282,2548,20,1.07,172,14357,39401,5.488751131852058,17168965.934999853,435.7494970939787,2.881451556731908,11912,8925436.120000001,20606,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2406.6968400294804,1251.142263734078,7.048504742434362,7133.829923834339,0.8029113320182055,0.1057517502804316,0.0051057904305109,0.0091543212264211,0.0026560424966799,0.0194303691383333,0.0549903944094173,3.4,52511,60931
"Akron, OH",298,6741,15835,38,1.1,716,26865,70900,5.278243067187791,15191985.931000035,214.2734263892812,2.756895589056393,21200,8039294.972000027,36980,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6351.230011170778,3360.943837542104,14.307097335607372,2391.975397565481,0.8467359846893525,0.071736568174392,0.0130321383559725,0.0061411800401437,0.0009685851654763,0.0159291415768099,0.0454564019978527,5.4,57285,286543
"Albany, GA",54,870,1905,18,1.08,96,8466,22838,5.395227970706355,9545102.272000035,417.9482560644556,2.8374675171273327,6957,4989592.978999986,11954,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2287.5833893179456,1195.80803777246,6.9795804483505375,4172.570196379139,0.8119073239626068,0.1143822718407424,0.0099535947272849,0.0090624789831192,0.0013114533593382,0.0158551348443069,0.0375277422826013,10.6,44844,55714
"Albany-Lebanon, OR",35,465,1046,9,1.06,78,7132,17906,5.021312394840157,8280294.42999999,462.4312761085664,2.568143578238923,5101,4225438.90999999,9147,461.9480605663048,1.150205044188318,0.0054662730950038,1.1933240823336295,0.8534977767784416,1385.456358964106,706.9991600858878,7.519704540317961,5976.5826447186655,0.7929696924704441,0.111968968653143,0.001707466453852,0.0150331285610883,0.0064586774558749,0.022252742154006,0.0496093242515914,6.6,55893,47762
"Albany-Schenectady-Troy, NY",297,6240,15617,49,1.15,732,36977,96867,5.239310923006193,27872441.86400053,287.7392906149724,2.755794142304676,30254,14555424.69099998,50900,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3740.7379674711865,1953.4718213769115,41.45546560411076,7451.05433911022,0.7933849233484312,0.0801563497920376,0.0361829707814555,0.0085983358496442,0.0028051788611831,0.0333213723936999,0.0455508689735482,4.6,71285,352713
"Albuquerque, NM",386,9099,21780,47,1.17,979,56267,139711,4.966001386247712,41850187.60699994,299.5482646820933,2.720333410347095,43144,22270600.903999776,76552,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1738.0648956176362,924.9122130357684,75.87954764307965,24078.61047796384,0.8062187150628898,0.0955939701113399,0.0151012829087958,0.0105786249477829,0.0078307420008354,0.0165597374781775,0.0481169274901783,6.0,54072,351354
"Allentown-Bethlehem-Easton, PA-NJ",343,5728,14953,37,1.16,601,36264,97249,5.363390690491948,21698849.59799967,223.12671182222613,2.8146371056695347,29337,11406213.688999992,50956,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5682.330298457868,2986.9728043861123,24.565920185611,3818.6533443662256,0.8168253765260248,0.0838120862148682,0.0171293518145062,0.0108014519984653,0.0018715630625756,0.0235605442043028,0.0459996261792568,5.5,67652,320529
"Altoona, PA",45,644,1393,17,1.06,50,7387,19256,5.213483146067416,4506170.260999963,234.0138274304093,2.7555164478137266,5646,2403920.069999997,10142,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3299.511213324471,1760.2000740071023,2.2148948255918604,1365.7084245698636,0.8310422798076232,0.0859414255975881,0.0114851769435072,0.0069090517550786,0.0018125044863972,0.0287129423587682,0.0340966190510372,4.3,49181,52126
"Amarillo, TX",116,2198,4600,20,1.1,239,17675,48852,5.527807637906648,20509683.939000096,419.8330455047919,2.9626025459688825,14816,10954097.934000053,26126,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1526.2505187535498,815.161155284963,20.82193669384014,13437.953787396473,0.831780174889896,0.1061386991766132,0.002991957617923,0.0101008489181081,0.0020345311801876,0.0152390374672879,0.031714750749984,3.4,55515,97345
"Ames, IA",36,400,939,8,1.08,23,6597,19097,5.78960133393967,8720754.905000009,456.6557524742111,3.014855237229044,5597,4522072.1750000045,9901,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607327,2934.478195968127,1521.648336948837,7.026282832210185,2971.8247411011707,0.748535551816539,0.0760266716520221,0.0495419704617685,0.0065900168255748,0.0167788371658253,0.0567395774911198,0.0457873745871502,4.1,58600,48765
