auto_commuters,annual_excess_fuel_consumed_commuters,ahd_ph,tti,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,ms_cara_per,ms_carp_per,ms_pt_per,ms_taxi_per,ms_bike_per,ms_walk_per,ms_wfh_per,unemp,med_hh_inc_dol,households
64,1282,2548,1.07,14357,39401,5.488751131852058,17168965.934999853,435.7494970939787,2.881451556731908,11912,8925436.120000001,20606,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2406.6968400294804,1251.142263734078,7.048504742434362,7133.829923834339,80.29113320182056,100.10575175028043,0.5105790430510966,0.9154321226421176,0.2656042496679947,1.94303691383334,5.499039440941735,3.4,52511,60931
298,6741,15835,1.1,26865,70900,5.278243067187791,15191985.931000035,214.2734263892812,2.756895589056393,21200,8039294.972000027,36980,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6351.230011170778,3360.943837542104,14.307097335607372,2391.975397565481,84.67359846893525,100.0717365681744,1.3032138355972551,0.6141180040143771,0.0968585165476357,1.592914157680997,4.545640199785277,5.4,57285,286543
54,870,1905,1.08,8466,22838,5.395227970706355,9545102.272000035,417.9482560644556,2.8374675171273327,6957,4989592.978999986,11954,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2287.5833893179456,1195.80803777246,6.9795804483505375,4172.570196379139,81.19073239626069,100.11438227184074,0.9953594727284956,0.906247898311924,0.131145335933822,1.5855134844306946,3.7527742282601375,10.6,44844,55714
35,465,1046,1.06,7132,17906,5.021312394840157,8280294.42999999,462.4312761085664,2.568143578238923,5101,4225438.90999999,9147,461.9480605663048,1.150205044188318,0.0054662730950038,1.1933240823336295,0.8534977767784416,1385.456358964106,706.9991600858878,7.519704540317961,5976.5826447186655,79.29696924704442,100.11196896865314,0.1707466453852007,1.5033128561088325,0.6458677455874984,2.225274215400605,4.960932425159148,6.6,55893,47762
297,6240,15617,1.15,36977,96867,5.239310923006193,27872441.86400053,287.7392906149724,2.755794142304676,30254,14555424.69099998,50900,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3740.7379674711865,1953.4718213769115,41.45546560411076,7451.05433911022,79.33849233484312,100.08015634979203,3.6182970781455577,0.8598335849644219,0.280517886118314,3.332137239369997,4.555086897354827,4.6,71285,352713
386,9099,21780,1.17,56267,139711,4.966001386247712,41850187.60699994,299.5482646820933,2.720333410347095,43144,22270600.903999776,76552,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1738.0648956176362,924.9122130357684,75.87954764307965,24078.61047796384,80.62187150628898,100.09559397011134,1.510128290879588,1.057862494778298,0.7830742000835472,1.6559737478177512,4.811692749017837,6.0,54072,351354
343,5728,14953,1.16,36264,97249,5.363390690491948,21698849.59799967,223.12671182222613,2.8146371056695347,29337,11406213.688999992,50956,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5682.330298457868,2986.9728043861123,24.565920185611,3818.6533443662256,81.68253765260248,100.08381208621486,1.7129351814506213,1.0801451998465368,0.1871563062575625,2.356054420430288,4.599962617925688,5.5,67652,320529
45,644,1393,1.06,7387,19256,5.213483146067416,4506170.260999963,234.0138274304093,2.7555164478137266,5646,2403920.069999997,10142,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3299.511213324471,1760.2000740071023,2.2148948255918604,1365.7084245698636,83.10422798076232,100.08594142559758,1.1485176943507285,0.6909051755078601,0.1812504486397243,2.8712942358768214,3.409661905103725,4.3,49181,52126
116,2198,4600,1.1,17675,48852,5.527807637906648,20509683.939000096,419.8330455047919,2.9626025459688825,14816,10954097.934000053,26126,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1526.2505187535498,815.161155284963,20.82193669384014,13437.953787396473,83.1780174889896,100.1061386991766,0.2991957617923023,1.0100848918108123,0.2034531180187655,1.523903746728793,3.171475074998404,3.4,55515,97345
36,400,939,1.08,6597,19097,5.78960133393967,8720754.905000009,456.6557524742111,3.014855237229044,5597,4522072.1750000045,9901,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607327,2934.478195968127,1521.648336948837,7.026282832210185,2971.8247411011707,74.8535551816539,100.07602667165202,4.954197046176855,0.6590016825574874,1.6778837165825389,5.673957749111984,4.5787374587150245,4.1,58600,48765
