msa,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
"Abilene, TX",92962.40596507616,277549.2862257396,220.47897352851243,192265.7331983535,15.657754308935477,13.480262183287783,7.57723081316531,4.540864020519181,4.916274517649859,375.64698058924495,100690.0,4649097.530587817
"Akron, OH",54339.40596206023,290058.94700357615,124.8331287676025,115371.7537546042,15.995617863760177,12.539551487887323,7.604762216175803,5.5631264103938545,6.291285843231664,259.4381142838291,227621.0,11810861.832947163
"Albany, GA",57568.4415255055,177636.35591636883,45.43200864753224,115472.58451482095,13.906133319297217,14.077965588593512,7.783971947160289,4.548861830631779,4.89508164149285,232.55183009293708,54985.0,2485982.607779753
"Albany-Schenectady-Troy, NY",44665.02790319518,285972.59984749765,1181.765702155789,125086.18697106068,14.217611063216905,10.902159365733485,7.202423517263599,5.3090821415779965,6.006794580162337,264.15781922394905,407208.0,17769771.480556346
"Albuquerque, NM",49890.51321443621,147251.7358652606,4.0248098271049315,101942.76060190292,15.594704502348142,13.531895135128009,7.77556277855575,5.051709848839096,5.576699752422495,196.62046620714932,305713.0,14530713.763122847
"Alexandria, LA",13535.712368147653,30403.226566776782,0.837933731931061,22348.681124794683,14.914312199497441,16.833994344044605,7.697496011505726,4.414311410602008,4.7273342482893055,48.58744821393909,52506.0,2551132.555921086
"Allentown-Bethlehem-Easton, PA-NJ",41561.33640994734,122278.06455051582,1046.3001314856556,82543.45685057357,15.065093051597792,13.982732687399842,7.506232079307378,5.310734713983015,5.9652244950882745,181.64672954259447,254067.0,12152028.936094414
"Altoona, PA",10020.002431813347,59215.28455994963,196.68224110549752,20193.663191592907,13.745463093158131,14.524194349943317,7.299264987681359,4.557051892927865,4.977957841403433,45.103932165114095,56226.0,2536013.689915705
"Amarillo, TX",56629.38201979053,223921.55808235565,259.7056211465097,121650.4024434958,16.093838613528835,15.261250260102925,7.731967896428592,4.846363975545947,5.307240505739528,247.8470327100735,184974.0,9108242.074306441
"Ames, IA",10376.122845833088,54412.5367948427,4.124989182317498,23853.17390933775,16.285406145862456,15.853208078210814,7.223231745181361,4.99673847076108,5.58028486771872,49.938869307734436,31480.0,1572075.60580748
"Ann Arbor, MI",10793.724254611434,65590.12912655233,12.806638155300037,22945.774750010474,16.212216334416567,17.092564737742666,7.1906012961106995,5.736758816768031,6.5925429284945,52.82468411353246,126641.0,6689770.8208218645
"Appleton, WI",21520.378772513326,117228.56764474898,161.67139226694275,55505.08815555586,18.272680668869263,16.559625146791856,7.843095456469922,5.703925639317412,6.448043065884955,111.8784145444346,77756.0,4263156.979957538
"Asheville, NC",34549.77252444251,92794.37821866461,553.7553046653926,64818.56361996814,14.780260265203925,14.890712140410235,7.0162304406430485,4.697866420318059,5.208753203591317,140.9167922851025,128725.0,5997789.797472195
"Athens-Clarke County, GA",38824.63326393266,97725.2695490157,46.83202610759009,85566.25119236129,17.68632211544831,12.658317191296524,7.491338757001697,5.031770630864931,5.590797702730187,155.88330214975164,44808.0,2171330.5469720843
"Atlanta-Sandy Springs-Alpharetta, GA",349028.8845964813,1043288.0687044781,415.9157410241572,719706.747840903,18.895890088789688,16.6754512254714,8.260852531781923,5.89295228563006,6.643858675593586,1404.6833273163088,898741.0,50661135.74948764
"Atlantic City-Hammonton, NJ",9521.63349308552,54189.73750097205,134.07231153119932,18434.57135676005,13.087553583345017,12.994348385089186,7.820231945093133,5.3602522253989315,5.986821769687109,45.249207908613386,113841.0,5151215.077524456
"Augusta-Richmond County, GA-SC",38994.70518463678,99170.53141335257,60.88329710141146,71754.39746975747,16.35494943474936,13.24584086212828,7.671121337109093,4.929898994830013,5.427936277611308,141.12359905890196,78258.0,3727408.733403247
"Austin-Round Rock-Georgetown, TX",36158.70851688871,78723.1877817579,3.4718532101282147,84729.98939450964,18.532078043066495,12.281145383625764,7.953528087970466,5.621373346140221,6.31844146964863,154.41424463867247,742925.0,37671175.79105073
"Bakersfield, CA",8409.748545933215,40608.61011364892,0.39849025429070567,22564.29307308839,15.154155148839111,8.591914101398656,9.371818724156144,5.014002199556606,5.29653698661649,43.42842716056701,232488.0,10096588.173705904
"Baltimore-Columbia-Towson, MD",37801.41729574684,132745.3104348763,429.0394304018678,79729.81872588083,17.845480453911033,14.256804769787914,7.7291211605303305,6.120040884060189,7.025787988286901,162.62986287918932,597325.0,31644627.049634483
"Bangor, ME",6353.180827014686,21680.246588864426,668.336234389602,22541.957145097185,15.262419339285278,14.976235307084162,7.172646968591708,4.637612764519222,5.105622018065685,47.154536397546046,67696.0,3192173.495968277
"Barnstable Town, MA",8013.846968090697,44144.57512752851,315.16196801335144,19853.23936388265,14.127718348903503,12.9359838415583,6.9199204630520805,5.3925809689084785,6.159716397188098,45.53592001961047,148253.0,6750836.750667311
"Baton Rouge, LA",119020.75968771712,240874.05881153734,18.418704201437333,194991.47231711008,15.938653445822496,12.61738510711081,7.9433186258907735,4.973030401400323,5.446822315804484,382.5480906572519,250107.0,11734822.829466095
"Beckley, WV",12624.123969027112,45212.02772495601,25.750427751095177,21093.89225255032,14.131123086793624,16.723158420863022,7.127687344913152,4.249319053829541,4.586516004865893,46.81780391126521,32809.0,1536045.3285247001
"Bellingham, WA",11287.154002476815,39816.92858682492,17.71670769953162,23509.526083855213,16.03882252871326,10.875657287519168,7.590141451265809,5.034672472069766,5.5793751617755865,45.11866890134359,71412.0,3222014.3835827485
"Bend, OR",10920.410130289836,36235.02021792655,18.75466903352482,25274.191607533947,17.228364184283937,10.61806399646648,7.509878318002627,5.174654717094919,5.781911181154757,46.31287239700272,54127.0,2506776.844232566
"Billings, MT",58586.011904461804,320174.2722088395,425.12163214401517,154023.59832129258,16.272016862657765,12.486999525929917,7.378751796695611,4.801612310164528,5.296675713012168,280.81465061335564,112074.0,5181859.763506945
"Binghamton, NY",26250.755375430694,154629.6916875806,510.73235656280696,64047.85718812251,13.715032866174434,11.081470095198855,7.312895014427549,4.773816735150269,5.267449042718212,131.67606034593024,132340.0,5578218.841160596
"Birmingham-Hoover, AL",13111.381827819663,27976.131894454615,2.561142801907808,26411.320370475274,17.509181568289776,14.287075730346965,7.672404407182914,4.550599681149849,4.919717509134146,48.93897889610365,15978.0,781947.0048019441
"Bismarck, ND",49206.30602198286,199877.11364572242,34.45413787425139,117968.40569934418,18.050623734609044,17.629288140693202,7.367740720503149,5.015692351748828,5.586988959456567,221.64875875611835,41870.0,2246339.4806865416
"Blacksburg-Christiansburg, VA",24478.826417555487,58280.48665563915,182.65525000080353,54138.5534722752,18.003189192221033,15.373398459861862,7.282403379311186,4.6875797516309685,5.155745736652293,101.43333429722091,20675.0,1044135.3940443292
"Bloomington, IN",24136.226342846785,56168.49852969959,87.03629891487171,53576.979759305206,18.491952424743957,14.919155304648736,7.74496228511219,4.766125810066636,5.201334179154562,100.15271374298916,13403.0,685208.6726399407
"Bloomsburg-Berwick, PA",9915.534565988233,33847.181379989604,260.12105144686757,21689.974839769056,14.891663285609253,13.602631757082715,7.263267122199269,4.906958295556254,5.453737995722375,46.118258456169855,7921.0,365302.7252313214
"Boise City, ID",51492.27690266488,178428.57693611886,173.42984962687157,135900.86985013392,18.077422322392177,11.62033385844559,8.09192241716183,5.313292881237545,5.884092225593345,234.0048905127394,181079.0,8870528.508607
"Boston-Cambridge-Newton, MA-NH",35060.00443537161,170986.95232810068,1308.85616563085,105951.00644592583,18.193751699516508,14.057337728996272,7.8978008374387185,6.463499930070871,7.465282722788352,214.65378446446428,487795.0,26378818.46143128
"Boulder, CO",9540.879580518213,56456.81077672981,1.2821386143026017,23619.747108549967,16.762102981198847,16.362687979685706,7.3683055677739615,6.008980532835108,6.927190460225827,53.42926752171945,115242.0,6157295.647737993
"Bowling Green, KY",12531.464715647408,23925.012147304573,13.060168144183816,23484.84051152129,15.390715797445214,13.914516073964915,7.39137169743033,3.9415417423626193,4.157273160378797,44.795418471581876,4279.0,191679.59563989885
"Bremerton-Silverdale-Port Orchard, WA",11220.875317940452,32991.64020458358,55.035595457340115,26487.888617966735,18.179434668851815,11.118820845007441,7.876152871894507,5.591894416191152,6.292064679624066,49.05836748156898,92718.0,4548593.716156113
"Brunswick, GA",60829.63955158504,122704.69119895055,356.68340826841404,113182.36749003676,14.733924791154674,14.711414921057129,7.360683594040791,4.6689132612205695,5.118971873469506,232.84609911928354,58786.0,2739069.5016092556
"Buffalo-Cheektowaga, NY",7952.372987073997,65428.68049745757,78.79179577821043,19573.315586651726,13.606307099005818,10.380225189669979,7.38871751072727,4.9625788345024855,5.512206680975804,41.85003531488135,95603.0,4000988.926208602
