Geographic Area Name,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh
"Abilene, TX",0.8064587541854609,0.11727592218501813,0.006420012729335584,0.017641198771342393,0.002089271383900158,0.024033539032017045,0.02608130171292581
"Aguadilla-Isabela, PR",0.8416056308763181,0.08380084151472651,0.003571243052308971,0.00396083320346995,0.0018700327255726976,0.04221858604747805,0.022972832580125706
"Akron, OH",0.862745752832457,0.06699231320356046,0.01497893113456144,0.005027383453350982,0.0013266706335231758,0.01684902063170166,0.032079928110845306
"Albany, GA",0.8042079962084024,0.1234131148650936,0.010765428755204982,0.007938657368225058,0.0014895561799654693,0.019618131961136126,0.032567114661972305
"Albany, OR",0.773648362805652,0.1120441661731111,0.005838057365259328,0.011126152804805821,0.013241390980624419,0.023034943734664522,0.0610669261358829
"Albany-Schenectady-Troy, NY",0.8047241444587006,0.0769362004454447,0.03216036009507183,0.009712844746393324,0.0023394026927670156,0.03683682841497872,0.037290219146643856
"Albuquerque, NM",0.7997260433225587,0.09517467265462504,0.018130675313318995,0.01397330691487883,0.009815938516438664,0.018734694187013342,0.044444669091166414
"Alexandria, LA",0.8383684246622317,0.09265482477196352,0.015533913997668198,0.014779507578355394,0.0028461696728619436,0.01707701803717166,0.018740141279747616
"Allentown-Bethlehem-Easton, PA-NJ",0.8175776598633772,0.08927228477720445,0.01709613737491905,0.007859992897282167,0.0024363366688253357,0.026152102613382355,0.039605485805009506
"Altoona, PA",0.8252776943860702,0.09257068183022234,0.003602521765235665,0.013739029085065428,0.0013067971109188197,0.036819891571158635,0.026683384251328872
"Amarillo, TX",0.8087595732472954,0.12812559767830564,0.007317661341959304,0.008382048446244293,0.0030268508278104393,0.015816127127734766,0.02857214133065019
"Ames, IA",0.7250558451228593,0.08169934640522876,0.061843302721932655,0.006701414743112435,0.020414494911888806,0.06926863572433192,0.035016960370646145
"Anchorage, AK",0.7448760712269719,0.12382100887771334,0.0171447631754503,0.034032945040283265,0.010555755118797147,0.027679991789398062,0.041889464771386054
"Ann Arbor, MI",0.7328732784806393,0.07605060603379633,0.05034061753516766,0.006552832581320593,0.017977528089887642,0.06285057064496151,0.0533545666342269
"Anniston-Oxford-Jacksonville, AL",0.8545029549263473,0.09175707859222017,0.0025800476316485844,0.012591514510011467,0.0010584810796507012,0.013605892211343389,0.023904031048778335
"Appleton, WI",0.8488769694937982,0.06981226952732149,0.006327522628226618,0.009704994971505196,0.0059001005698960775,0.021480053637277906,0.03789808917197452
"Arecibo, PR",0.8772729073406489,0.06819712395515588,0.0034068850770510636,0.0030305431208651904,0.0009111436833973775,0.03187022144753001,0.015311175375351583
"Asheville, NC",0.8042956292392807,0.09570594694561636,0.0051120930159247215,0.00800701927674129,0.003084068448456127,0.022350301839407775,0.06144494123457309
"Athens-Clarke County, GA",0.7913571352647305,0.09319601752666203,0.018613220583198496,0.01405439879061308,0.01001523544070579,0.031025971111714755,0.04173802128237531
"Atlanta-Sandy Springs-Roswell, GA",0.7785906529451077,0.10352225715202946,0.03088521823053269,0.013236175973542185,0.0018381558677028503,0.01364281546360738,0.058284724367477725
"Atlantic City-Hammonton, NJ",0.7655289635005921,0.08042597410966738,0.0727732622302419,0.01904316935048615,0.005574396442697299,0.03625774333609905,0.020396491030216127
"Auburn-Opelika, AL",0.8371639103660105,0.08669864278040883,0.009305351712033408,0.009154045180130426,0.005810170825074518,0.024057738572574178,0.027810140563768137
"Augusta-Richmond County, GA-SC",0.8360462035935193,0.10439119154644116,0.006345215018270351,0.009810064040838123,0.0022958829688373835,0.01817363771303145,0.022937805119062137
"Austin-Round Rock, TX",0.7601643381792027,0.10541836490050348,0.024082953728122754,0.01475447352934766,0.00809376430330638,0.0184956735903751,0.06899043176914191
"Bakersfield, CA",0.7677861697913072,0.14817122263543303,0.010524096154583445,0.02082454727855947,0.005341921302508658,0.01764878784393411,0.02970325499367404
