msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Abilene, TX",14357,39401,5.488751131852058,17168965.934999853,435.7494970939787,2.881451556731908,11912,8925436.120000001,20606,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2406.6968400294804,1251.142263734078,7.048504742434362,7133.829923834339
"Albany, GA",8466,22838,5.395227970706355,9545102.272000035,417.9482560644556,2.8374675171273327,6957,4989592.978999986,11954,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2287.5833893179456,1195.80803777246,6.9795804483505375,4172.570196379139
"Akron, OH",26865,70900,5.278243067187791,15191985.931000035,214.2734263892812,2.756895589056393,21200,8039294.972000027,36980,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6351.230011170778,3360.943837542104,14.307097335607372,2391.975397565481
"Albany-Lebanon, OR",7132,17906,5.021312394840157,8280294.42999999,462.4312761085664,2.568143578238923,5101,4225438.90999999,9147,461.9480605663048,1.150205044188318,0.0054662730950038,1.1933240823336295,0.8534977767784416,1385.456358964106,706.9991600858878,7.519704540317961,5976.5826447186655
"Albany-Schenectady-Troy, NY",36977,96867,5.239310923006193,27872441.86400053,287.7392906149724,2.755794142304676,30254,14555424.69099998,50900,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3740.7379674711865,1953.4718213769115,41.45546560411076,7451.05433911022
"Albuquerque, NM",56267,139711,4.966001386247712,41850187.60699994,299.5482646820933,2.720333410347095,43144,22270600.903999776,76552,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1738.0648956176362,924.9122130357684,75.87954764307965,24078.61047796384
"Altoona, PA",7387,19256,5.213483146067416,4506170.260999963,234.01382743040932,2.7555164478137266,5646,2403920.069999997,10142,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3299.511213324471,1760.2000740071023,2.2148948255918604,1365.7084245698636
"Allentown-Bethlehem-Easton, PA-NJ",36264,97249,5.363390690491948,21698849.59799967,223.12671182222613,2.8146371056695347,29337,11406213.688999992,50956,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5682.330298457868,2986.9728043861123,24.565920185611,3818.6533443662256
"Ames, IA",6597,19097,5.78960133393967,8720754.905000009,456.6557524742111,3.014855237229044,5597,4522072.1750000045,9901,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607332,2934.478195968127,1521.648336948837,7.026282832210185,2971.8247411011707
"Ann Arbor, MI",12496,31721,5.076984635083226,8388334.793999938,264.4410577850616,2.7586427656850194,10159,4447092.615000017,17167,259.0489086619687,1.0600540481770675,0.0184656608609541,6.6750450166501984,5.42667912325139,4480.834856328646,2375.52363943164,20.446091597870257,1872.0472998803812
"Anniston-Oxford, AL",10739,27487,5.119098612533755,6447881.509999957,234.5793105831832,2.646615141074588,8080,3334313.133000012,14184,235.0756579949247,1.0796032509137057,0.0071912013536379,6.769308928804128,5.093213161815565,4064.410268881064,2101.778160224029,1.6748064439185255,1586.4248644798015
"Appleton, WI",11584,30380,5.245165745856354,9483610.090000046,312.166230743912,2.843232044198895,9387,4909793.807000009,16384,299.6700321655279,1.0479884715953112,0.005615234375,4.298777925134903,3.4834796601555023,3519.3312936359494,1822.0056314309131,33.44992959305511,2694.719336923289
"Amarillo, TX",17675,48852,5.527807637906648,20509683.939000096,419.8330455047919,2.9626025459688825,14816,10954097.934000053,26126,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1526.2505187535498,815.161155284963,20.82193669384014,13437.953787396473
"Athens-Clarke County, GA",11515,28029,4.868258792878854,9397343.400999917,335.27216101180625,2.583673469387755,8571,4873670.081000014,14839,328.4365577869138,1.0861214025469257,0.0093672080328863,4.306523094756635,3.205489313517943,3514.535508967868,1822.715828054798,16.278567026702095,2673.8507484192937
