Geographic Area Name,Year,Auto,Annual Excess Fuel Consumed,Annual Hours of Delay,Travel Time Index,Freeway,Truck-based Statistics,Arterial Street,msa
"Akron, OH",2014.0,298,6453,14470,1.11,5703,608,4460,
"Albany-Schenectady, NY",2014.0,300,5172,13605,1.14,7273,690,5623,
"Albuquerque, NM",2014.0,380,8950,18864,1.15,5500,909,7887,
"Allentown, PA-NJ",2014.0,329,5627,13837,1.14,5599,513,5199,
"Anchorage, AK",2014.0,137,2595,6193,1.17,1415,172,2240,
"Atlanta, GA",2014.0,2069,115636,208509,1.25,51367,9563,45569,
"Austin, TX",2014.0,705,23541,58506,1.33,13936,2543,12022,
"Bakersfield, CA",2014.0,271,3222,7834,1.12,2015,329,5345,
"Baltimore, MD",2014.0,1261,35600,86755,1.26,28522,3644,19119,
"Baton, Rouge",2014.0,338,11144,22483,1.22,5108,1745,8229,
"Beaumont, TX",2014.0,78,1831,4161,1.13,2119,178,1616,
"Birmingham, AL",2014.0,415,8955,21543,1.14,11396,905,8803,
"Boise, ID",2014.0,186,4670,11145,1.15,1674,468,4246,
"Boston, MA-NH-RI",2014.0,1704,71602,174013,1.27,41311,6666,38188,
"Boulder, CO",2014.0,64,1859,3895,1.2,662,138,1065,
"Bridgeport-Stamford, CT-NY",2014.0,479,14794,35036,1.31,10417,1923,6033,
"Brownsville, TX",2014.0,112,1688,3836,1.14,894,161,1374,
"Buffalo, NY",2014.0,451,10425,23489,1.17,6786,821,9291,
"Cape, Coral",2014.0,290,5444,14274,1.18,1856,600,7118,
"Charleston-North, Charleston",2014.0,298,8498,19768,1.23,3797,830,5993,
"Charlotte, NC-SC",2014.0,600,15686,44377,1.23,14001,1864,13498,
"Chicago, IL-IN",2014.0,3445,132666,310635,1.29,54912,14042,74764,
"Cincinnati, OH-KY-IN",2014.0,833,23494,51903,1.18,17657,2069,15626,
"Cleveland, OH",2014.0,874,25752,48077,1.15,18076,2174,12706,
"Colorado, Springs",2014.0,290,7083,16832,1.16,4863,613,5133,
"Columbia, SC",2014.0,293,6635,15392,1.16,6588,589,5926,
"Columbus, OH",2014.0,740,18448,42369,1.18,15674,1788,11872,
"Corpus, Christi",2014.0,175,3984,8851,1.12,3272,372,2493,
"Dallas-Fort, Worth-Arlington",2014.0,2573,78282,209671,1.27,66781,8806,44837,
"Dayton, OH",2014.0,376,6058,13448,1.12,7030,589,5638,
"Denver-Aurora, CO",2014.0,1307,44005,101271,1.3,24412,4253,21868,
"Detroit, MI",2014.0,2072,65399,157277,1.24,33432,6606,45591,
"El, Paso",2014.0,419,9022,21018,1.16,6141,883,5550,
"Eugene, OR",2014.0,113,3153,6126,1.17,1584,257,1787,
"Fresno, CA",2014.0,341,7432,17638,1.15,3270,741,5350,
"Grand, Rapids",2014.0,333,6868,15976,1.13,5461,656,7441,
"Greensboro, NC",2014.0,167,2899,7385,1.12,5286,310,3512,
"Hartford, CT",2014.0,447,10844,26100,1.18,11052,1096,7753,
"Honolulu, HI",2014.0,379,14118,31546,1.39,6066,1325,3252,
"Houston, TX",2014.0,2408,94299,231617,1.33,53673,9728,39211,
"Indianapolis, IN",2014.0,782,19039,40210,1.18,13968,2157,15946,
"Indio-Cathedral, City",2014.0,180,2051,5043,1.09,2074,212,3414,
"Jackson, MS",2014.0,193,3924,11041,1.13,4628,425,6489,
"Jacksonville, FL",2014.0,560,11615,32579,1.18,11810,1368,8895,
"Kansas, City",2014.0,831,18820,45800,1.15,22532,1924,12850,
"Knoxville, TN",2014.0,310,7126,15975,1.14,6092,991,8089,
"Lancaster-Palmdale, CA",2014.0,172,1227,4766,1.1,966,200,3913,
"Laredo, TX",2014.0,132,2516,5317,1.17,568,346,1927,
"Las, Vegas-Henderson",2014.0,982,22420,54272,1.24,11392,2076,15005,
"Little, Rock",2014.0,242,9109,17577,1.13,8008,1518,5361,
"Los, Angeles-Long",2014.0,5881,334247,897650,1.48,132120,34005,119349,
"Louisville-Jefferson, County",2014.0,585,11966,27237,1.18,12020,1174,9178,
"Madison, WI",2014.0,194,4774,10151,1.15,3498,559,3800,
"McAllen, TX",2014.0,381,7855,16823,1.15,3123,707,5454,
"Memphis, TN-MS-AR",2014.0,572,12215,25891,1.18,9176,1387,13269,
"Miami, FL",2014.0,2724,105174,260112,1.3,43683,10138,50168,
"Milwaukee, WI",2014.0,689,18250,36660,1.17,11511,1658,13630,
"Minneapolis-St., Paul",2014.0,1383,32794,96726,1.26,30126,3689,25959,
"Nashville-Davidson, TN",2014.0,616,20706,48192,1.22,16144,2524,11599,
"New, Haven",2014.0,265,6137,14460,1.16,7421,607,4171,
"New, Orleans",2014.0,506,21865,51201,1.33,5914,3250,8188,
"New, York-Newark",2014.0,5176,317483,759632,1.34,121029,31905,107608,
"Oklahoma, City",2014.0,550,15974,39188,1.18,11267,1917,10964,
"Omaha, NE-IA",2014.0,396,7906,17079,1.16,5249,538,5989,
"Orlando, FL",2014.0,797,22914,57037,1.23,13491,2396,17057,
"Oxnard, CA",2014.0,185,2399,6461,1.16,2059,293,3107,
"Pensacola, FL-AL",2014.0,182,3525,8579,1.17,1584,360,4911,
"Philadelphia, PA-NJ-DE-MD",2014.0,2305,67530,159347,1.24,37006,6514,44914,
"Phoenix-Mesa, AZ",2014.0,1998,65942,152812,1.27,30803,6418,38100,
"Pittsburgh, PA",2014.0,854,18772,41995,1.19,9809,1812,14956,
"Portland, OR-WA",2014.0,850,33501,69134,1.35,13974,3478,14375,
"Poughkeepsie-Newburgh, NY-NJ",2014.0,205,3568,7833,1.11,5353,316,4759,
"Providence, RI-MA",2014.0,605,15100,34961,1.17,11023,1118,10028,
"Provo-Orem, UT",2014.0,253,4741,7652,1.12,4170,621,3414,
"Raleigh, NC",2014.0,487,8684,24789,1.17,9464,859,11489,
"Richmond, VA",2014.0,503,8497,22416,1.13,11805,758,9980,
"Riverside-San, Bernardino",2014.0,1081,32004,100804,1.33,23134,4234,14203,
"Rochester, NY",2014.0,356,6637,14629,1.16,6122,581,6501,
"Sacramento, CA",2014.0,897,22724,66743,1.26,16107,2009,13646,
"Salem, OR",2014.0,125,2960,6159,1.16,1624,274,2101,
"Salt, Lake",2014.0,530,14407,26886,1.18,8742,1169,8616,
"San, Antonio",2014.0,989,25630,65239,1.24,22323,2740,13970,
"San, Diego",2014.0,1398,30738,132336,1.34,39315,4944,22109,
"San, Francisco-Oakland",2014.0,1264,87793,240496,1.48,28102,12280,21700,
"San, Jose",2014.0,1013,39679,110710,1.41,18222,5047,15644,
"San, Juan",2014.0,1038,29335,71561,1.34,10224,2488,11139,
"Sarasota-Bradenton, FL",2014.0,336,5999,14617,1.16,2975,614,6588,
"Seattle, WA",2014.0,1501,62050,159201,1.38,28953,6686,26626,
"Spokane, WA",2014.0,197,5241,9800,1.16,2194,462,4269,
"Springfield, MA-CT",2014.0,310,6332,14199,1.13,5587,593,6589,
"St., Louis",2014.0,1120,28421,68106,1.15,30549,3818,19163,
"Stockton, CA",2014.0,193,2959,8218,1.15,3566,494,2095,
"Tampa-St., Petersburg",2014.0,1270,31330,80817,1.22,14980,3394,29024,
"Toledo, OH-MI",2014.0,270,4096,10570,1.14,4206,518,4488,
"Tucson, AZ",2014.0,426,13418,30124,1.2,3775,1547,11760,
"Tulsa, OK",2014.0,402,9675,23270,1.15,8047,977,9073,
"Virginia, Beach",2014.0,742,14489,39001,1.17,12820,1253,14829,
"Washington, DC-VA-MD",2014.0,1838,88129,228900,1.34,38074,9245,44490,
"Wichita, KS",2014.0,282,4172,10244,1.14,4201,450,3052,
"Winston-Salem, NC",2014.0,214,2546,6956,1.11,5931,292,2359,
"Worcester, MA-CT",2014.0,245,5122,11729,1.14,6392,523,5489,
"Aberdeen-Bel, Air",2014.0,120,1963,5283,1.1,,221,,
"Abilene, TX",2014.0,62,788,1694,1.06,,93,,
"Aguadilla-Isabela-San, Sebastian",2014.0,164,2826,4877,1.21,,475,,
"Albany, GA",2014.0,53,810,1752,1.07,,93,,
"Alexandria, LA",2014.0,45,960,2048,1.11,,184,,
"Altoona, PA",2014.0,45,668,1423,1.05,,56,,
"Amarillo, TX",2014.0,113,1986,4068,1.09,,256,,
"Ames, IA",2014.0,34,397,914,1.07,,23,,
"Anderson, IN",2014.0,50,587,1329,1.05,,96,,
"Anderson, SC",2014.0,43,702,1352,1.09,,91,,
"Ann, Arbor",2014.0,166,2778,6840,1.11,,336,,
"Anniston-Oxford, AL",2014.0,42,521,1301,1.05,,64,,
"Antioch, CA",2014.0,165,2068,7122,1.23,,157,,
"Appleton, WI",2014.0,124,1515,3465,1.06,,176,,
"Arecibo, PR",2014.0,79,1265,3310,1.21,,383,,
"Asheville, NC",2014.0,163,2963,7882,1.08,,338,,
"Athens-Clarke, County",2014.0,71,1343,3225,1.09,,0,,
"Atlantic, City",2014.0,138,2093,5232,1.08,,271,,
"Auburn, AL",2014.0,46,788,1747,1.06,,63,,
"Augusta-Richmond, County",2014.0,209,3314,7894,1.1,,381,,
"Avondale-Goodyear, AZ",2014.0,106,1446,3863,1.07,,153,,
"Bangor, ME",2014.0,33,699,1591,1.09,,97,,
"Barnstable, Town",2014.0,140,2131,5223,1.05,,237,,
"Battle, Creek",2014.0,43,521,1243,1.04,,67,,
"Bay, City",2014.0,39,495,1096,1.05,,50,,
"Bellingham, WA",2014.0,64,978,2601,1.1,,110,,
"Beloit, WI-IL",2014.0,35,268,586,1.03,,47,,
"Bend, OR",2014.0,48,774,1580,1.09,,133,,
"Benton, Harbor-St.",2014.0,35,351,843,1.04,,60,,
"Billings, MT",2014.0,65,913,2010,1.08,,63,,
"Binghamton, NY-PA",2014.0,90,1338,2983,1.05,,185,,
"Bismarck, ND",2014.0,50,587,1352,1.08,,47,,
"Blacksburg, VA",2014.0,52,483,1125,1.06,,32,,
"Bloomington, IN",2014.0,64,793,1735,1.1,,116,,
"Bloomington-Normal, IL",2014.0,76,546,1271,1.04,,55,,
"Bonita, Springs",2014.0,189,3895,8794,1.13,,295,,
"Bowling, Green",2014.0,47,1436,2949,1.13,,188,,
"Bremerton, WA",2014.0,116,1920,5125,1.15,,215,,
"Bristol, TN-VA",2014.0,39,581,1452,1.04,,120,,
"Brunswick, GA",2014.0,44,685,1464,1.06,,77,,
"Burlington, NC",2014.0,68,723,1743,1.04,,77,,
"Burlington, VT",2014.0,62,1275,3006,1.1,,125,,
"Camarillo, CA",2014.0,41,707,2188,1.18,,61,,
"Canton, OH",2014.0,159,2641,6576,1.06,,313,,
"Cape, Girardeau",2014.0,31,576,1303,1.09,,72,,
"Carbondale, IL",2014.0,38,323,742,1.05,,40,,
"Carson, City",2014.0,33,506,1144,1.09,,60,,
"Cartersville, GA",2014.0,36,512,1204,1.04,,67,,
"Casa, Grande",2014.0,31,371,704,1.04,,60,,
