MSA,households,med_hh_inc_dol,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh,unemp,auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti,dvmt_freeway,ahd_truck,vmt_arterial,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,pop_2014,electricity_kwh,nat_gas_cuft,fueloil_gal,vmt,hh_2014,cf_transport_phh,cf_housing_phh,cf_food_phh,cf_goods_phh,cf_services_phh,cf_phh,cf
"Abilene, TX",60343,44249,0.8064587541854609,0.1172759221850181,0.0064200127293355,0.0176411987713423,0.0020892713839001,0.024033539032017,0.0260813017129258,6.4,62.0,788.0,1694.0,1.06,,93.0,,14357.0,39401.0,5.488751131852058,17168965.934999853,435.7494970939787,2.881451556731908,11912.0,8925436.120000001,20606.0,433.1474386101136,1.0678402558487987,0.0044647190138794,2.0125234485942585,1.6697902987848998,2406.6968400294804,1251.142263734078,7.048504742434362,7133.829923834339,160828.0,35714.08877437216,98701.11857852463,1.336684834728391,76234.63477127347,65492.0,15.927517077549922,12.674110359415604,7.667712808624119,4.616458172672405,5.004892400080426,49.14409753647679,3218545.235858938
"Akron, OH",281752,50776,0.862745752832457,0.0669923132035604,0.0149789311345614,0.0050273834533509,0.0013266706335231,0.0168490206317016,0.0320799281108453,9.7,298.0,6453.0,14470.0,1.11,5703.0,608.0,4460.0,26865.0,70900.0,5.278243067187791,15191985.931000035,214.2734263892812,2.756895589056393,21200.0,8039294.972000027,36980.0,217.395753704706,1.0562403121295567,0.0150892374256354,11.231302808274206,8.862967412447913,6351.230011170778,3360.943837542104,14.307097335607372,2391.975397565481,678301.0,23257.03763268614,121455.1091128983,79.04694775612907,47008.85859610047,160668.0,15.993912602580654,11.746599327191054,7.517471693549178,5.391050439101379,6.071774668149753,50.96812200596162,8188946.226453842
"Albany, GA",58250,36805,0.8042079962084024,0.1234131148650936,0.0107654287552049,0.007938657368225,0.0014895561799654,0.0196181319611361,0.0325671146619723,15.0,53.0,810.0,1752.0,1.07,,93.0,,8466.0,22838.0,5.395227970706355,9545102.272000035,417.9482560644556,2.8374675171273327,6957.0,4989592.978999986,11954.0,417.3994461268183,1.0528330884702628,0.0029278902459427,2.02896526638344,1.6673176657488291,2287.5833893179456,1195.80803777246,6.9795804483505375,4172.570196379139,141811.0,38975.470766070895,85814.67258747296,9.16219553635034,72787.5040179585,57134.0,14.36008480076761,13.990202241029651,7.972295781728673,4.684970029803055,5.050887630011552,46.4283230430785,2652635.808743247
"Albany-Schenectady-Troy, NY",347401,61841,0.8047241444587006,0.0769362004454447,0.0321603600950718,0.0097128447463933,0.002339402692767,0.0368368284149787,0.0372902191466438,7.4,,,,,,,,36977.0,96867.0,5.239310923006193,27872441.86400053,287.7392906149724,2.755794142304676,30254.0,14555424.69099998,50900.0,285.96119235756345,1.0915652231431503,0.033320235756385,4.962653379926319,4.060364966230112,3740.7379674711865,1953.4718213769115,41.45546560411076,7451.05433911022,820825.0,36802.45428727457,233221.91310516032,1181.3358349483967,103020.43596290164,392206.0,14.195390295496106,10.778376485287833,7.221763228325503,5.349726662818226,6.058856615943101,47.02112709807904,18441968.17462919
"Albuquerque, NM",344168,48875,0.7997260433225587,0.095174672654625,0.0181306753133189,0.0139733069148788,0.0098159385164386,0.0187346941870133,0.0444446690911664,9.1,380.0,8950.0,18864.0,1.15,5500.0,909.0,7887.0,56267.0,139711.0,4.966001386247712,41850187.60699994,299.5482646820933,2.720333410347095,43144.0,22270600.903999776,76552.0,290.9212156965171,1.089402586029313,0.0037621486048698,2.336804279112958,1.7917977467796302,1738.0648956176362,924.9122130357684,75.87954764307965,24078.61047796384,729083.0,49890.51321443621,147251.7358652606,4.024809827104932,101942.76060190292,305713.0,15.594704502348142,13.531895135128009,7.77556277855575,5.051709848839096,5.576699752422495,49.59338138451363,15161341.403203815
"Alexandria, LA",54908,41032,0.8383684246622317,0.0926548247719635,0.0155339139976681,0.0147795075783553,0.0028461696728619,0.0170770180371716,0.0187401412797476,8.8,45.0,960.0,2048.0,1.11,,184.0,,,,,,,,,,,,,,,,,,,,145729.0,27944.85469865776,59364.8157538707,1.718216071802367,49026.46411916941,60871.0,15.27969653733466,16.886352360253415,7.722231881908756,4.421471259960244,4.732537835407684,47.435634051946,2887454.480376005
"Allentown-Bethlehem-Easton, PA-NJ",313786,58681,0.8175776598633772,0.0892722847772044,0.017096137374919,0.0078599928972821,0.0024363366688253,0.0261521026133823,0.0396054858050095,9.2,,,,,,,,36264.0,97249.0,5.363390690491948,21698849.59799967,223.12671182222613,2.8146371056695347,29337.0,11406213.688999992,50956.0,223.84436943637635,1.0714316119452103,0.0053183138393908,9.49654151076619,7.682551243694786,5682.330298457868,2986.9728043861123,24.565920185611,3818.6533443662256,745906.0,38018.849965035406,144950.46470470313,1348.5454644744796,90261.49624249128,309660.0,15.499600141850172,14.279527008090502,7.553688660830791,5.432042888834642,6.12233587603413,50.10726770939991,15516216.518892776
"Altoona, PA",50948,43871,0.8252776943860702,0.0925706818302223,0.0036025217652356,0.0137390290850654,0.0013067971109188,0.0368198915711586,0.0266833842513288,6.7,45.0,668.0,1423.0,1.05,,56.0,,7387.0,19256.0,5.213483146067416,4506170.260999963,234.0138274304093,2.7555164478137266,5646.0,2403920.069999997,10142.0,237.02623447051835,1.0775413867303028,0.0037467955038453,5.408914426464471,4.134118160527739,3299.511213324471,1760.2000740071023,2.2148948255918604,1365.7084245698636,131508.0,10020.002431813347,59215.28455994963,196.68224110549752,20193.663191592907,56226.0,13.745463093158133,14.524194349943317,7.299264987681359,4.557051892927865,4.977957841403433,44.32520090832893,2492228.7462717025
"Amarillo, TX",95576,49553,0.8087595732472954,0.1281255976783056,0.0073176613419593,0.0083820484462442,0.0030268508278104,0.0158161271277347,0.0285721413306501,5.0,113.0,1986.0,4068.0,1.09,,256.0,,17675.0,48852.0,5.527807637906648,20509683.939000096,419.8330455047919,2.9626025459688825,14816.0,10954097.934000053,26126.0,419.27956571997447,1.0519434263946847,0.0021434586235933,1.3153044190833187,1.1025488131902943,1526.2505187535498,815.161155284963,20.82193669384014,13437.953787396473,227957.0,59325.85968534513,217197.82349052865,10.363516653829263,145690.11987430818,172812.0,16.38534340300881,15.328733053102976,7.748002790859824,4.866920007662333,5.332568415014356,50.71817801955414,8764709.77991519
"Ames, IA",35666,51270,0.7250558451228593,0.0816993464052287,0.0618433027219326,0.0067014147431124,0.0204144949118888,0.0692686357243319,0.0350169603706461,5.7,34.0,397.0,914.0,1.07,,23.0,,6597.0,19097.0,5.78960133393967,8720754.905000009,456.6557524742111,3.014855237229044,5597.0,4522072.1750000045,9901.0,456.72883294616753,1.03212000087871,0.016058983941016,2.2198482665419794,1.8833546684607327,2934.478195968127,1521.648336948837,7.026282832210185,2971.8247411011707,106500.0,21371.070525216564,114795.1515608689,8.423142887552682,51323.90970187807,41802.0,16.841483057251846,16.090336729899867,7.242494617806277,5.01015583574782,5.596739958574303,51.53235652663209,2154155.567526275
