,0,1,2,3
0,10180,"Abilene, TX (Metropolitan Statistical Area)",48059,"Callahan County, TX"
1,10180,"Abilene, TX (Metropolitan Statistical Area)",48253,"Jones County, TX"
2,10180,"Abilene, TX (Metropolitan Statistical Area)",48441,"Taylor County, TX"
3,10420,"Akron, OH (Metropolitan Statistical Area)",39133,"Portage County, OH"
4,10420,"Akron, OH (Metropolitan Statistical Area)",39153,"Summit County, OH"
5,10500,"Albany, GA (Metropolitan Statistical Area)",13095,"Dougherty County, GA"
6,10500,"Albany, GA (Metropolitan Statistical Area)",13177,"Lee County, GA"
7,10500,"Albany, GA (Metropolitan Statistical Area)",13273,"Terrell County, GA"
8,10500,"Albany, GA (Metropolitan Statistical Area)",13321,"Worth County, GA"
9,10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",41043,"Linn County, OR"
10,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36001,"Albany County, NY"
11,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36083,"Rensselaer County, NY"
12,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36091,"Saratoga County, NY"
13,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36093,"Schenectady County, NY"
14,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36095,"Schoharie County, NY"
15,10740,"Albuquerque, NM (Metropolitan Statistical Area)",35001,"Bernalillo County, NM"
16,10740,"Albuquerque, NM (Metropolitan Statistical Area)",35043,"Sandoval County, NM"
17,10740,"Albuquerque, NM (Metropolitan Statistical Area)",35057,"Torrance County, NM"
18,10740,"Albuquerque, NM (Metropolitan Statistical Area)",35061,"Valencia County, NM"
19,10780,"Alexandria, LA (Metropolitan Statistical Area)",22043,"Grant County, LA"
20,10780,"Alexandria, LA (Metropolitan Statistical Area)",22079,"Rapides County, LA"
21,10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",34041,"Warren County, NJ"
22,10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42025,"Carbon County, PA"
