MSA,pop_2014,electricity_kwh,nat_gas_cuft,fueloil_gal,vmt,hh_2014,cf_transport_phh,cf_housing_phh,cf_food_phh,cf_goods_phh,cf_services_phh,cf_phh,cf,msa
"Abilene, TX",160828,35714.08877437216,98701.11857852465,1.336684834728391,76234.63477127347,65492.0,15.927517077549922,12.674110359415604,7.667712808624119,4.616458172672405,5.004892400080426,49.14409753647679,3218545.235858938,0.0
"Akron, OH",678301,23257.03763268614,121455.1091128983,79.04694775612907,47008.85859610047,160668.0,15.993912602580654,11.746599327191054,7.5174716935491785,5.391050439101379,6.071774668149753,50.96812200596162,8188946.226453842,0.0
"Albany, GA",141811,38975.470766070895,85814.67258747296,9.16219553635034,72787.5040179585,57134.0,14.36008480076761,13.990202241029651,7.972295781728673,4.684970029803055,5.050887630011552,46.4283230430785,2652635.808743247,0.0
"Albany-Lebanon, OR",108795,11139.12163077854,36096.69531641208,18.554493273202578,26802.912183464312,44491.0,18.007040722973862,10.646117288900333,7.8096332552047425,4.9958286067919895,5.498124793757229,54.317668101701685,2416647.37151281,0.0
"Albany-Schenectady-Troy, NY",820825,36802.45428727457,233221.91310516032,1181.3358349483967,103020.43596290163,392206.0,14.195390295496106,10.778376485287831,7.221763228325503,5.349726662818226,6.058856615943101,47.02112709807904,18441968.17462919,0.0
"Albuquerque, NM",729083,49890.51321443621,147251.7358652606,4.0248098271049315,101942.76060190292,305713.0,15.594704502348142,13.531895135128009,7.77556277855575,5.051709848839096,5.576699752422495,49.59338138451363,15161341.403203815,0.0
"Alexandria, LA",145729,27944.85469865776,59364.8157538707,1.718216071802367,49026.46411916941,60871.0,15.27969653733466,16.886352360253415,7.722231881908756,4.421471259960244,4.732537835407684,47.435634051946,2887454.480376005,0.0
"Allentown-Bethlehem-Easton, PA-NJ",745906,38018.849965035406,144950.46470470313,1348.5454644744796,90261.49624249127,309660.0,15.499600141850172,14.279527008090502,7.553688660830791,5.432042888834642,6.12233587603413,50.10726770939991,15516216.518892776,0.0
"Altoona, PA",131508,10020.002431813347,59215.28455994963,196.68224110549752,20193.663191592907,56226.0,13.745463093158131,14.524194349943317,7.299264987681359,4.557051892927865,4.977957841403433,44.32520090832893,2492228.7462717025,0.0
"Amarillo, TX",227957,59325.85968534513,217197.82349052865,10.363516653829263,145690.11987430818,172812.0,16.38534340300881,15.328733053102976,7.748002790859824,4.866920007662333,5.332568415014356,50.71817801955414,8764709.77991519,0.0
"Ames, IA",106500,21371.070525216564,114795.1515608689,8.423142887552682,51323.90970187807,41802.0,16.841483057251846,16.090336729899867,7.242494617806277,5.01015583574782,5.596739958574303,51.53235652663209,2154155.567526275,0.0
"Ann Arbor, MI",310313,10793.724254611434,65590.12912655233,12.806638155300037,22945.774750010474,126641.0,16.212216334416567,17.092564737742666,7.1906012961106995,5.736758816768031,6.5925429284945,51.94433571020637,6578282.618676244,0.0
"Anniston-Oxford, AL",120033,13273.631098603975,33694.93715457804,2.396874897994686,23951.699924187516,54608.0,16.014863553548334,14.996900586537592,7.316130064232335,4.500579487032623,4.896249660639279,48.74268631900091,2661740.6145080016,0.0
"Appleton, WI",198815,21520.378772513326,117228.56764474898,161.67139226694275,55505.08815555586,77756.0,18.272680668869263,16.559625146791856,7.843095456469922,5.703925639317412,6.448043065884955,56.540425499410816,4396357.325132187,0.0
