msa,municipality
"Abilene, TX","['Callahan County, TX', 'Jones County, TX', 'Taylor County, TX']"
"Akron, OH","['Portage County, OH', 'Summit County, OH']"
"Albany, GA","['Dougherty County, GA', 'Lee County, GA', 'Terrell County, GA', 'Worth County, GA']"
"Albany-Lebanon, OR","['Linn County, OR']"
"Albany-Schenectady-Troy, NY","['Albany County, NY', 'Rensselaer County, NY', 'Saratoga County, NY', 'Schenectady County, NY', 'Schoharie County, NY']"
"Albuquerque, NM","['Bernalillo County, NM', 'Sandoval County, NM', 'Torrance County, NM', 'Valencia County, NM']"
"Alexandria, LA","['Grant County, LA', 'Rapides County, LA']"
"Allentown-Bethlehem-Easton, PA-NJ","['Warren County, NJ', 'Carbon County, PA', 'Lehigh County, PA', 'Northampton County, PA']"
"Altoona, PA","['Blair County, PA']"
"Amarillo, TX","['Armstrong County, TX', 'Carson County, TX', 'Oldham County, TX', 'Potter County, TX', 'Randall County, TX']"
"Ames, IA","['Boone County, IA', 'Story County, IA']"
"Anchorage, AK","['Anchorage Municipality County, AK', 'Matanuska-Susitna Borough County, AK']"
"Ann Arbor, MI","['Washtenaw County, MI']"
"Anniston-Oxford, AL","['Calhoun County, AL']"
"Appleton, WI","['Calumet County, WI', 'Outagamie County, WI']"
"Asheville, NC","['Buncombe County, NC', 'Haywood County, NC', 'Henderson County, NC', 'Madison County, NC']"
"Athens-Clarke County, GA","['Clarke County, GA', 'Madison County, GA', 'Oconee County, GA', 'Oglethorpe County, GA']"
"Atlanta-Sandy Springs-Alpharetta, GA","['Barrow County, GA', 'Bartow County, GA', 'Butts County, GA', 'Carroll County, GA', 'Cherokee County, GA', 'Clayton County, GA', 'Cobb County, GA', 'Coweta County, GA', 'Dawson County, GA', 'DeKalb County, GA', 'Douglas County, GA', 'Fayette County, GA', 'Forsyth County, GA', 'Fulton County, GA', 'Gwinnett County, GA', 'Haralson County, GA', 'Heard County, GA', 'Henry County, GA', 'Jasper County, GA', 'Lamar County, GA', 'Meriwether County, GA', 'Morgan County, GA', 'Newton County, GA', 'Paulding County, GA', 'Pickens County, GA', 'Pike County, GA', 'Rockdale County, GA', 'Spalding County, GA', 'Walton County, GA']"
"Atlantic City-Hammonton, NJ","['Atlantic County, NJ']"
"Auburn-Opelika, AL","['Lee County, AL']"
"Augusta-Richmond County, GA-SC","['Burke County, GA', 'Columbia County, GA', 'Lincoln County, GA', 'McDuffie County, GA', 'Richmond County, GA', 'Aiken County, SC', 'Edgefield County, SC']"
"Austin-Round Rock-Georgetown, TX","['Bastrop County, TX', 'Caldwell County, TX', 'Hays County, TX', 'Travis County, TX', 'Williamson County, TX']"
"Bakersfield, CA","['Kern County, CA']"
"Baltimore-Columbia-Towson, MD","['Anne Arundel County, MD', 'Baltimore County, MD', 'Carroll County, MD', 'Harford County, MD', 'Howard County, MD', ""Queen Anne's County, MD"", 'Baltimore, MD']"
"Bangor, ME","['Penobscot County, ME']"
"Barnstable Town, MA","['Barnstable County, MA']"
"Baton Rouge, LA","['Ascension County, LA', 'Assumption County, LA', 'East Baton Rouge County, LA', 'East Feliciana County, LA', 'Iberville County, LA', 'Livingston County, LA', 'Pointe Coupee County, LA', 'St. Helena County, LA', 'West Baton Rouge County, LA', 'West Feliciana County, LA']"
"Battle Creek, MI","['Calhoun County, MI']"
"Bay City, MI","['Bay County, MI']"
"Beaumont-Port Arthur, TX","['Hardin County, TX', 'Jefferson County, TX', 'Orange County, TX']"
"Beckley, WV","['Fayette County, WV', 'Raleigh County, WV']"
"Bellingham, WA","['Whatcom County, WA']"
"Bend, OR","['Deschutes County, OR']"
"Billings, MT","['Carbon County, MT', 'Stillwater County, MT', 'Yellowstone County, MT']"
"Binghamton, NY","['Broome County, NY', 'Tioga County, NY']"
"Birmingham-Hoover, AL","['Bibb County, AL', 'Blount County, AL', 'Chilton County, AL', 'Jefferson County, AL', 'St. Clair County, AL', 'Shelby County, AL']"
"Bismarck, ND","['Burleigh County, ND', 'Morton County, ND', 'Oliver County, ND']"
"Blacksburg-Christiansburg, VA","['Giles County, VA', 'Pulaski County, VA', 'Montgomery County, VA', 'Radford, VA']"
"Bloomington, IL","['McLean County, IL']"
"Bloomington, IN","['Monroe County, IN', 'Owen County, IN']"
"Bloomsburg-Berwick, PA","['Columbia County, PA', 'Montour County, PA']"
"Boise City, ID","['Ada County, ID', 'Boise County, ID', 'Canyon County, ID', 'Gem County, ID', 'Owyhee County, ID']"
"Boston-Cambridge-Newton, MA-NH","['Essex County, MA', 'Middlesex County, MA', 'Norfolk County, MA', 'Plymouth County, MA', 'Suffolk County, MA', 'Rockingham County, NH', 'Strafford County, NH']"
"Boulder, CO","['Boulder County, CO']"
"Bowling Green, KY","['Allen County, KY', 'Butler County, KY', 'Edmonson County, KY', 'Warren County, KY']"
"Bremerton-Silverdale-Port Orchard, WA","['Kitsap County, WA']"
"Bridgeport-Stamford-Norwalk, CT","['Fairfield County, CT']"
"Brownsville-Harlingen, TX","['Cameron County, TX']"
"Brunswick, GA","['Brantley County, GA', 'Glynn County, GA', 'McIntosh County, GA']"
"Buffalo-Cheektowaga, NY","['Erie County, NY', 'Niagara County, NY']"
"Burlington, NC","['Alamance County, NC']"
"Burlington-South Burlington, VT","['Chittenden County, VT', 'Franklin County, VT', 'Grand Isle County, VT']"
"California-Lexington Park, MD","[""St. Mary's County, MD""]"
"Canton-Massillon, OH","['Carroll County, OH', 'Stark County, OH']"
"Cape Coral-Fort Myers, FL","['Lee County, FL']"
"Cape Girardeau, MO-IL","['Alexander County, IL', 'Bollinger County, MO', 'Cape Girardeau County, MO']"
"Carbondale-Marion, IL","['Jackson County, IL', 'Johnson County, IL', 'Williamson County, IL']"
"Carson City, NV","['Carson City, NV']"
"Casper, WY","['Natrona County, WY']"
"Cedar Rapids, IA","['Benton County, IA', 'Jones County, IA', 'Linn County, IA']"
"Chambersburg-Waynesboro, PA","['Franklin County, PA']"
"Champaign-Urbana, IL","['Champaign County, IL', 'Piatt County, IL']"
"Charleston, WV","['Boone County, WV', 'Clay County, WV', 'Jackson County, WV', 'Kanawha County, WV', 'Lincoln County, WV']"
"Charleston-North Charleston, SC","['Berkeley County, SC', 'Charleston County, SC', 'Dorchester County, SC']"
"Charlotte-Concord-Gastonia, NC-SC","['Anson County, NC', 'Cabarrus County, NC', 'Gaston County, NC', 'Iredell County, NC', 'Lincoln County, NC', 'Mecklenburg County, NC', 'Rowan County, NC', 'Union County, NC', 'Chester County, SC', 'Lancaster County, SC', 'York County, SC']"
"Charlottesville, VA","['Fluvanna County, VA', 'Greene County, VA', 'Nelson County, VA', 'Albemarle County, VA', 'Charlottesville, VA']"
"Chattanooga, TN-GA","['Catoosa County, GA', 'Dade County, GA', 'Walker County, GA', 'Hamilton County, TN', 'Marion County, TN', 'Sequatchie County, TN']"
"Cheyenne, WY","['Laramie County, WY']"
