msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Abilene, TX",14357,39401,5.488751132,17168965.93,435.7494971,2.881451557,11912,8925436.12,20606,433.1474386,1.067840256,0.004464719,2.012523449,1.669790299,2406.69684,1251.142264,7.048504742,7133.829924
"Akron, OH",26865,70900,5.278243067,15191985.93,214.2734264,2.756895589,21200,8039294.972,36980,217.3957537,1.056240312,0.015089237,11.23130281,8.862967412,6351.230011,3360.943838,14.30709734,2391.975398
"Albany, GA",8466,22838,5.395227971,9545102.272,417.9482561,2.837467517,6957,4989592.979,11954,417.3994461,1.052833088,0.00292789,2.028965266,1.667317666,2287.583389,1195.808038,6.979580448,4172.570196
"Albany-Lebanon, OR",7132,17906,5.021312395,8280294.43,462.4312761,2.568143578,5101,4225438.91,9147,461.9480606,1.150205044,0.005466273,1.193324082,0.853497777,1385.456359,706.9991601,7.51970454,5976.582645
"Albany-Schenectady-Troy, NY",36977,96867,5.239310923,27872441.86,287.7392906,2.755794142,30254,14555424.69,50900,285.9611924,1.091565223,0.033320236,4.96265338,4.060364966,3740.737967,1953.471821,41.4554656,7451.054339
"Albuquerque, NM",56267,139711,4.966001386,41850187.61,299.5482647,2.72033341,43144,22270600.9,76552,290.9212157,1.089402586,0.003762149,2.336804279,1.791797747,1738.064896,924.912213,75.87954764,24078.61048
"Allentown-Bethlehem-Easton, PA-NJ",36264,97249,5.36339069,21698849.6,223.1267118,2.814637106,29337,11406213.69,50956,223.8443694,1.071431612,0.005318314,9.496541511,7.682551244,5682.330298,2986.972804,24.56592019,3818.653344
"Altoona, PA",7387,19256,5.213483146,4506170.261,234.0138274,2.755516448,5646,2403920.07,10142,237.0262345,1.077541387,0.003746796,5.408914426,4.134118161,3299.511213,1760.200074,2.214894826,1365.708425
"Amarillo, TX",17675,48852,5.527807638,20509683.94,419.8330455,2.962602546,14816,10954097.93,26126,419.2795657,1.051943426,0.002143459,1.315304419,1.102548813,1526.250519,815.1611553,20.82193669,13437.95379
"Ames, IA",6597,19097,5.789601334,8720754.905,456.6557525,3.014855237,5597,4522072.175,9901,456.7288329,1.032120001,0.016058984,2.219848267,1.883354668,2934.478196,1521.648337,7.026282832,2971.824741
"Ann Arbor, MI",12496,31721,5.076984635,8388334.794,264.4410578,2.758642766,10159,4447092.615,17167,259.0489087,1.060054048,0.018465661,6.675045017,5.426679123,4480.834856,2375.523639,20.4460916,1872.0473
"Anniston-Oxford, AL",10739,27487,5.119098613,6447881.51,234.5793106,2.646615141,8080,3334313.133,14184,235.075658,1.079603251,0.007191201,6.769308929,5.093213162,4064.410269,2101.77816,1.674806444,1586.424864
"Appleton, WI",11584,30380,5.245165746,9483610.09,312.1662307,2.843232044,9387,4909793.807,16384,299.6700322,1.047988472,0.005615234,4.298777925,3.48347966,3519.331294,1822.005631,33.44992959,2694.719337
"Asheville, NC",39255,88100,4.488600178,23134697.79,262.5958886,2.301439307,24634,11965018.66,45156,264.9707382,1.194750188,0.007994508,7.427420555,4.660987848,4377.305563,2263.895695,10.78428252,5285.145726
"Athens-Clarke County, GA",11515,28029,4.868258793,9397343.401,335.272161,2.583673469,8571,4873670.081,14839,328.4365578,1.086121403,0.009367208,4.306523095,3.205489314,3514.535509,1822.715828,16.27856703,2673.850748
"Atlanta-Sandy Springs-Alpharetta, GA",250655,575914,4.595272386,128448503.1,223.0341736,2.4772137,173864,68248984.79,310903,219.5185791,1.089081283,0.008417416,10.94539698,7.592150568,5608.983892,2980.240698,445.2676843,22900.49419
"Atlantic City-Hammonton, NJ",12717,33807,5.316820005,6918526.678,204.6477557,2.897538728,10507,3732094.507,18410,202.7210487,1.051000261,0.010646388,7.221586112,5.96659631,3928.814671,2119.339613,5.777397852,1760.970485
"Auburn-Opelika, AL",9142,21769,4.762415226,5782902.417,265.6485101,2.478451105,6326,3006122.504,11301,266.0049999,1.077776798,0.01256526,5.712743194,3.953053319,3613.677141,1878.495501,4.330159621,1600.281982
"Augusta-Richmond County, GA-SC",37974,94149,4.958603255,30318880.46,322.0308283,2.626033602,28632,15798563.06,49810,317.176532,1.083787966,0.008954025,4.093068635,3.086131068,3267.953301,1702.865195,31.32629075,9277.635775
"Austin-Round Rock-Georgetown, TX",87049,214823,4.935679904,47402749.32,220.6595631,2.704901837,67750,25931301.05,117895,219.952509,1.07879374,0.003876331,7.855598299,6.113990796,4277.785579,2340.128944,152.2866168,11081.14197
"Bakersfield, CA",41727,108328,5.192225657,35767635.08,330.1790403,2.744002684,32222,18978067.02,57222,331.6568281,1.076372985,0.002848555,1.974703422,1.524885414,1692.680312,898.1248087,54.93725626,21130.76806
"Baltimore-Columbia-Towson, MD",91320,218780,4.791502409,42454624.84,194.0516722,2.66325011,68878,23469613.14,121763,192.7483155,1.081403483,0.01955438,11.32778235,8.543966195,5266.280662,2911.286351,151.8066262,8061.595567
"Bangor, ME",9041,21349,4.722707665,11606909.53,543.674623,2.442539542,6178,6016368.348,11001,546.8928596,1.090223337,0.014907736,0.982139723,0.671127,1260.878985,653.5686695,10.06357894,9205.411197
"Barnstable Town, MA",23380,59937,5.127202737,9525890.585,158.9317214,2.653421728,18474,4922310.03,31060,158.4774639,1.120357534,0.058435287,8.340709887,6.590516443,3398.318639,1756.011973,29.23638233,2803.118717
"Battle Creek, MI",6826,18810,5.511280398,6619370.204,351.9069752,2.848666862,5621,3439490.942,9661,356.0181081,1.04299141,0.006728082,3.669016105,3.021321349,3557.951345,1848.747093,2.746272717,1860.444273
"Bay City, MI",4978,13969,5.612294094,4711197.51,337.2608998,2.904379269,3969,2461823.955,7179,342.9201776,1.029977188,0.006128987,4.240714915,3.381156589,4013.428194,2097.206421,1.111392428,1173.858677
