msa,auto_commuters,annual_excess_fuel_consumed_commuters,ahd_ph,tti
"Abilene, TX",64,1282,2548,1.07
"Akron, OH",298,6741,15835,1.1
"Albany, GA",54,870,1905,1.08
"Albany-Lebanon, OR",35,465,1046,1.06
"Albany-Schenectady-Troy, NY",297,6240,15617,1.15
"Albuquerque, NM",386,9099,21780,1.17
"Allentown-Bethlehem-Easton, PA-NJ",343,5728,14953,1.16
"Altoona, PA",45,644,1393,1.06
"Amarillo, TX",116,2198,4600,1.1
"Ames, IA",36,400,939,1.08
"Ann Arbor, MI",175,2706,6726,1.1
"Anniston-Oxford, AL",47,710,1818,1.06
"Appleton, WI",128,1707,3821,1.05
"Asheville, NC",175,3329,8689,1.08
"Athens-Clarke County, GA",78,1587,3772,1.1
"Atlanta-Sandy Springs-Alpharetta, GA",2417,121952,230899,1.3
"Atlantic City-Hammonton, NJ",139,2063,5097,1.07
"Auburn-Opelika, AL",50,1181,2672,1.09
"Augusta-Richmond County, GA-SC",225,3749,8536,1.09
"Austin-Round Rock-Georgetown, TX",893,30205,81069,1.35
"Bakersfield, CA",289,3598,9684,1.15
"Baltimore-Columbia-Towson, MD",1275,39125,102994,1.26
"Bangor, ME",36,723,1689,1.09
"Barnstable Town, MA",142,2195,5252,1.05
"Battle Creek, MI",45,542,1313,1.05
"Bay City, MI",42,526,1244,1.06
"Beaumont-Port Arthur, TX",82,1999,4772,1.12
"Beckley, WV",37,517,1168,1.05
"Bellingham, WA",69,1417,3537,1.13
"Bend, OR",56,1237,2582,1.11
"Billings, MT",68,1217,2710,1.1
"Binghamton, NY",91,1329,3539,1.06
"Birmingham-Hoover, AL",417,11276,28789,1.17
"Bismarck, ND",52,791,1808,1.09
"Blacksburg-Christiansburg, VA",53,598,1401,1.07
"Bloomington, IL",77,678,1581,1.04
"Bloomington, IN",67,847,1888,1.1
"Bloomsburg-Berwick, PA",30,287,778,1.04
"Boise City, ID",204,5659,12525,1.18
"Boston-Cambridge-Newton, MA-NH",1755,86430,209231,1.28
"Boulder, CO",67,2285,4865,1.22
"Bowling Green, KY",53,1397,2808,1.14
"Bremerton-Silverdale-Port Orchard, WA",123,2059,5142,1.14
"Bridgeport-Stamford-Norwalk, CT",484,16449,39387,1.3
"Brownsville-Harlingen, TX",123,2764,5944,1.13
"Brunswick, GA",44,687,1513,1.05
"Buffalo-Cheektowaga, NY",444,11904,27343,1.16
"Burlington, NC",78,948,2105,1.04
"Burlington-South Burlington, VT",65,1289,3024,1.1
"Cape Coral-Fort Myers, FL",322,8916,21377,1.19
"Cape Girardeau, MO-IL",31,550,1224,1.08
"Carbondale-Marion, IL",40,319,784,1.05
"Carson City, NV",34,512,1193,1.09
"Casper, WY",44,450,1116,1.09
"Cedar Rapids, IA",108,1567,3752,1.09
"Chambersburg-Waynesboro, PA",30,404,872,1.05
"Champaign-Urbana, IL",87,826,1875,1.06
"Charleston, WV",101,1087,2669,1.05
"Charleston-North Charleston, SC",325,9369,24780,1.24
"Charlotte-Concord-Gastonia, NC-SC",741,18348,51737,1.22
"Charlottesville, VA",60,1561,4026,1.18
"Chattanooga, TN-GA",228,6079,12878,1.13
"Cheyenne, WY",45,513,1193,1.06
"Chicago-Naperville-Elgin, IL-IN-WI",3446,136878,331657,1.29
"Chico, CA",62,780,1793,1.1
"Cincinnati, OH-KY-IN",858,25279,57734,1.17
"Clarksville, TN-KY",103,2049,3995,1.12
"Cleveland-Elyria, OH",47,882,1865,1.07
"Cleveland, TN",874,27628,53157,1.14
"Coeur d'Alene, ID",65,1150,2632,1.09
"College Station-Bryan, TX",114,2677,5657,1.16
"Colorado Springs, CO",303,7792,20010,1.16
"Columbia, MO",76,1199,2845,1.1
"Columbia, SC",306,6564,16893,1.15
"Columbus, GA-AL",152,2521,5458,1.08
"Columbus, IN",34,387,877,1.05
"Columbus, OH",778,19677,46578,1.18
"Corpus Christi, TX",178,4907,9813,1.13
"Corvallis, OR",38,406,905,1.11
"Cumberland, MD-WV",30,687,1518,1.1
"Dallas-Fort Worth-Arlington, TX",2684,83609,219759,1.25
"Dalton, GA",52,791,1772,1.05
"Danville, IL",28,247,541,1.05
"Daphne-Fairhope-Foley, AL",40,1027,2564,1.11
"Davenport-Moline-Rock Island, IA-IL",166,1733,4002,1.05
"Dayton-Kettering, OH",375,6379,14481,1.12
"Decatur, AL",52,839,1876,1.08
"Decatur, IL",36,463,1091,1.07
"Deltona-Daytona Beach-Ormond Beach, FL",116,1540,3343,1.08
"Denver-Aurora-Lakewood, CO",1358,44960,111366,1.32
