msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,dvmt_freeway,ahd_truck,vmt_arterial
"Akron, OH",298,6741,15835,38,1.1,6107,716,4669
"Albany-Schenectady, NY",297,6240,15617,49,1.15,6569,732,5442
"Albuquerque, NM",386,9099,21780,47,1.17,6037,979,7975
"Allentown, PA-NJ",343,5728,14953,37,1.16,5490,601,5266
"Anchorage, AK",138,2747,7304,43,1.18,950,227,2081
"Atlanta, GA",2417,121952,230899,78,1.3,56583,10674,60396
"Austin, TX",893,30205,81069,68,1.35,16800,3545,15551
"Bakersfield, CA",289,3598,9684,26,1.15,2846,459,4198
"Baltimore, MD",1275,39125,102994,63,1.26,31258,4231,19327
"Baton, Rouge",344,12196,25307,61,1.22,6315,2049,7994
"Beaumont, TX",82,1999,4772,42,1.12,2272,210,1745
"Birmingham, AL",417,11276,28789,51,1.17,12349,1473,9015
"Boise, ID",204,5659,12525,44,1.18,2040,486,4515
"Boston, MA-NH-RI",1755,86430,209231,86,1.28,45261,7478,45773
"Boulder, CO",67,2285,4865,48,1.22,720,163,1112
"Bridgeport-Stamford, CT-NY",484,16449,39387,58,1.3,10562,2365,5971
"Brownsville, TX",123,2764,5944,36,1.13,1038,231,1734
"Buffalo, NY",444,11904,27343,49,1.16,6867,1019,9880
"Cape, Coral",322,8916,21377,45,1.19,2379,725,8052
"Charleston-North, Charleston",325,9369,24780,58,1.24,4434,891,7373
"Charlotte, NC-SC",741,18348,51737,53,1.22,16470,2041,14768
"Chicago, IL-IN",3446,136878,331657,74,1.29,57332,16360,76267
"Cincinnati, OH-KY-IN",858,25279,57734,52,1.17,19129,2343,14062
"Cleveland, OH",874,27628,53157,47,1.14,19049,2274,13711
"Colorado, Springs",303,7792,20010,48,1.16,5708,652,5605
"Columbia, SC",306,6564,16893,44,1.15,7698,629,6325
"Columbus, OH",778,19677,46578,49,1.18,17052,1979,13107
"Corpus, Christi",178,4907,9813,39,1.13,4077,513,2523
"Dallas-Fort, Worth-Arlington",2684,83609,219759,65,1.25,74121,9846,46453
"Dayton, OH",375,6379,14481,32,1.12,8188,662,6281
"Denver-Aurora, CO",1358,44960,111366,62,1.32,27910,4637,23581
"Detroit, MI",2045,60243,159551,60,1.23,33055,6457,46532
"El, Paso",419,10965,24967,45,1.16,7219,1233,6934
"Eugene, OR",123,3176,6504,38,1.15,1508,385,1944
"Fresno, CA",359,7821,19335,40,1.15,4657,875,5398
"Grand, Rapids",330,7101,17240,41,1.12,5932,661,7864
"Greensboro, NC",172,3173,7697,36,1.13,6484,339,3864
"Hartford, CT",449,12053,28583,52,1.17,11496,1307,7744
"Honolulu, HI",384,16276,38532,68,1.42,6559,1686,3314
"Houston, TX",2616,105899,263239,76,1.34,61837,12015,51392
"Indianapolis, IN",812,21655,47617,52,1.18,15595,2488,17860
"Indio-Cathedral, City",186,2405,5832,14,1.1,2176,249,4352
"Jackson, MS",199,4989,12836,44,1.13,5294,529,6477
"Jacksonville, FL",601,14458,40733,53,1.21,14504,1501,9891
"Kansas, City",834,20971,51326,50,1.16,24422,3187,13987
"Knoxville, TN",315,7705,17570,45,1.14,7272,1124,9034
"Lancaster-Palmdale, CA",200,1287,5089,21,1.09,1031,220,3690
"Laredo, TX",138,3755,7487,35,1.17,505,567,2460
"Las, Vegas-Henderson",1060,24594,60761,50,1.25,13403,2343,17225
"Little, Rock",246,10582,20266,46,1.14,8741,2471,5542
"Los, Angeles-Long",5796,345453,952183,119,1.52,134435,36779,108348
"Louisville-Jefferson, County",587,13501,30610,48,1.17,10683,1807,7760
"Madison, WI",201,5182,12064,42,1.16,3990,690,3631
"McAllen, TX",413,9266,22555,42,1.17,3692,903,6868
"Memphis, TN-MS-AR",575,15133,31809,54,1.18,10000,2183,15472
"Miami, FL",2827,120912,309019,74,1.34,49276,11577,53935
